Group_Name,Year,Month,Report_Year_Month,Volume,Open_Interest
Agriculture,2000,6,2000-6,29,49
Currencies,2000,6,2000-6,55,37
Energy,2000,6,2000-6,26,17
Equity,2000,6,2000-6,185179,39200
"Interest Rates",2000,6,2000-6,471,2010
Metals,2000,6,2000-6,1347,2793
Other,2000,6,2000-6,70057,33130
Agriculture,2000,7,2000-7,42,64
Currencies,2000,7,2000-7,35,62
Energy,2000,7,2000-7,115,112
Equity,2000,7,2000-7,175337,34395
"Interest Rates",2000,7,2000-7,336,2186
Metals,2000,7,2000-7,285,2639
Other,2000,7,2000-7,25620,35480
Agriculture,2000,8,2000-8,13,51
Currencies,2000,8,2000-8,60,84
Energy,2000,8,2000-8,30,142
Equity,2000,8,2000-8,185296,35540
"Interest Rates",2000,8,2000-8,272,1707
Metals,2000,8,2000-8,347,0
Other,2000,8,2000-8,36480,36497
Agriculture,2000,9,2000-9,20,56
Currencies,2000,9,2000-9,1615019,130370
Energy,2000,9,2000-9,37,165
Equity,2000,9,2000-9,894,587
"Interest Rates",2000,9,2000-9,536200,97735
Metals,2000,9,2000-9,3639,0
Other,2000,9,2000-9,9300,37287
Agriculture,2001,1,2001-1,120,20
Currencies,2001,1,2001-1,1688010,140001
Energy,2001,1,2001-1,20,105
Equity,2001,1,2001-1,956,461
"Interest Rates",2001,1,2001-1,280098,160323
Metals,2001,1,2001-1,5523,0
Other,2001,1,2001-1,269373,137044
Agriculture,2001,10,2001-10,96,157
Currencies,2001,10,2001-10,1507,1580
Energy,2001,10,2001-10,9,18
Equity,2001,10,2001-10,1509,560
"Interest Rates",2001,10,2001-10,346797,169198
Metals,2001,10,2001-10,5755,0
Other,2001,10,2001-10,73889,31899
Agriculture,2001,11,2001-11,83,205
Currencies,2001,11,2001-11,859,1512
Energy,2001,11,2001-11,9,27
Equity,2001,11,2001-11,640,471
"Interest Rates",2001,11,2001-11,537612,239646
Metals,2001,11,2001-11,3047,0
Other,2001,11,2001-11,87302,47878
Agriculture,2001,12,2001-12,170,206
Currencies,2001,12,2001-12,3138,1568
Energy,2001,12,2001-12,48,66
Equity,2001,12,2001-12,812,505
"Interest Rates",2001,12,2001-12,439754,117424
Metals,2001,12,2001-12,1299,0
Other,2001,12,2001-12,60225,63788
Agriculture,2001,2,2001-2,67,72
Currencies,2001,2,2001-2,5519,1353
Energy,2001,2,2001-2,0,105
Equity,2001,2,2001-2,403,500
"Interest Rates",2001,2,2001-2,244738,155324
Metals,2001,2,2001-2,100,0
Other,2001,2,2001-2,201385,194892
Agriculture,2001,3,2001-3,53,106
Currencies,2001,3,2001-3,8395,2333
Energy,2001,3,2001-3,0,105
Equity,2001,3,2001-3,737,465
"Interest Rates",2001,3,2001-3,622570,136795
Metals,2001,3,2001-3,25,0
Other,2001,3,2001-3,165165,170669
Agriculture,2001,4,2001-4,41,70
Currencies,2001,4,2001-4,3537,2475
Energy,2001,4,2001-4,0,105
Equity,2001,4,2001-4,966,348
"Interest Rates",2001,4,2001-4,410048,128471
Metals,2001,4,2001-4,50,0
Other,2001,4,2001-4,49894,138023
Agriculture,2001,5,2001-5,44,93
Currencies,2001,5,2001-5,3852,2212
Energy,2001,5,2001-5,105,0
Equity,2001,5,2001-5,1793,876
"Interest Rates",2001,5,2001-5,328188,140749
Metals,2001,5,2001-5,100,0
Other,2001,5,2001-5,69043,131438
Agriculture,2001,6,2001-6,45,70
Currencies,2001,6,2001-6,4459,1606
Energy,2001,6,2001-6,0,7
Equity,2001,6,2001-6,1296,959
"Interest Rates",2001,6,2001-6,645514,159397
Metals,2001,6,2001-6,2618,0
Other,2001,6,2001-6,30042,133263
Agriculture,2001,7,2001-7,62,91
Currencies,2001,7,2001-7,2035,1852
Energy,2001,7,2001-7,9,9
Equity,2001,7,2001-7,1451,461
"Interest Rates",2001,7,2001-7,377893,153105
Metals,2001,7,2001-7,2002,0
Other,2001,7,2001-7,39731,26191
Agriculture,2001,8,2001-8,74,39
Currencies,2001,8,2001-8,2302,1760
Energy,2001,8,2001-8,9,9
Equity,2001,8,2001-8,987,529
"Interest Rates",2001,8,2001-8,404556,164797
Metals,2001,8,2001-8,16,0
Other,2001,8,2001-8,47691,32324
Agriculture,2001,9,2001-9,180,174
Currencies,2001,9,2001-9,5051,1832
Energy,2001,9,2001-9,0,9
Equity,2001,9,2001-9,995,429
"Interest Rates",2001,9,2001-9,658465,127047
Metals,2001,9,2001-9,193,0
Other,2001,9,2001-9,35320,32444
Agriculture,2002,1,2002-1,271,346
Currencies,2002,1,2002-1,676,1870
Energy,2002,1,2002-1,33,48
Equity,2002,1,2002-1,963,454
"Interest Rates",2002,1,2002-1,328572,119640
Metals,2002,1,2002-1,2423,0
Other,2002,1,2002-1,113971,167610
Agriculture,2002,10,2002-10,238,334
Currencies,2002,10,2002-10,660,2045
Energy,2002,10,2002-10,50,40
Equity,2002,10,2002-10,3697,1481
"Interest Rates",2002,10,2002-10,463367,214707
Metals,2002,10,2002-10,415,102
Other,2002,10,2002-10,330227,189978
Agriculture,2002,11,2002-11,89,350
Currencies,2002,11,2002-11,1778,1775
Energy,2002,11,2002-11,20,30
Equity,2002,11,2002-11,4024,2537
"Interest Rates",2002,11,2002-11,555,545
Metals,2002,11,2002-11,132,80
Other,2002,11,2002-11,13245,1640
Agriculture,2002,12,2002-12,143,250
Currencies,2002,12,2002-12,3051,1539
Energy,2002,12,2002-12,40,70
Equity,2002,12,2002-12,3125,1930
"Interest Rates",2002,12,2002-12,745,0
Metals,2002,12,2002-12,94,88
Other,2002,12,2002-12,51623,1850
Agriculture,2002,2,2002-2,285,395
Currencies,2002,2,2002-2,1386,2261
Energy,2002,2,2002-2,24,24
Equity,2002,2,2002-2,1133,518
"Interest Rates",2002,2,2002-2,329305,165414
Metals,2002,2,2002-2,1589,0
Other,2002,2,2002-2,122593,113681
Agriculture,2002,3,2002-3,255,407
Currencies,2002,3,2002-3,5368,2639
Energy,2002,3,2002-3,3,12
Equity,2002,3,2002-3,818,480
"Interest Rates",2002,3,2002-3,614852,193991
Metals,2002,3,2002-3,1393,0
Other,2002,3,2002-3,143191,141968
Agriculture,2002,4,2002-4,275,328
Currencies,2002,4,2002-4,2108,3011
Energy,2002,4,2002-4,6,0
Equity,2002,4,2002-4,1697,791
"Interest Rates",2002,4,2002-4,339430,246990
Metals,2002,4,2002-4,2259,0
Other,2002,4,2002-4,224980,154907
Agriculture,2002,5,2002-5,132,368
Currencies,2002,5,2002-5,2043,3507
Energy,2002,5,2002-5,4610,5931
Equity,2002,5,2002-5,1761,1282
"Interest Rates",2002,5,2002-5,371385,288787
Metals,2002,5,2002-5,38,38
Other,2002,5,2002-5,183497,194524
Agriculture,2002,6,2002-6,200,328
Currencies,2002,6,2002-6,4774,3003
Energy,2002,6,2002-6,6759,4373
Equity,2002,6,2002-6,2551,1995
"Interest Rates",2002,6,2002-6,665532,175295
Metals,2002,6,2002-6,40,44
Other,2002,6,2002-6,338538,215291
Agriculture,2002,7,2002-7,201,364
Currencies,2002,7,2002-7,2077,2979
Energy,2002,7,2002-7,7551,2500
Equity,2002,7,2002-7,3240,1894
"Interest Rates",2002,7,2002-7,397307,220809
Metals,2002,7,2002-7,2248,1134
Other,2002,7,2002-7,261047,192866
Agriculture,2002,8,2002-8,360,271
Currencies,2002,8,2002-8,1723,2939
Energy,2002,8,2002-8,3545,1665
Equity,2002,8,2002-8,3247,2820
"Interest Rates",2002,8,2002-8,295871,261733
Metals,2002,8,2002-8,62,60
Other,2002,8,2002-8,243223,183691
Agriculture,2002,9,2002-9,307,375
Currencies,2002,9,2002-9,3432,1961
Energy,2002,9,2002-9,50,10
Equity,2002,9,2002-9,3030,2143
"Interest Rates",2002,9,2002-9,535649,131662
Metals,2002,9,2002-9,1396,472
Other,2002,9,2002-9,162801,203394
Agriculture,2003,1,2003-1,130,330
Currencies,2003,1,2003-1,1300,1792
Energy,2003,1,2003-1,150,200
Equity,2003,1,2003-1,12873,0
"Interest Rates",2003,1,2003-1,100,100
Metals,2003,1,2003-1,8464,0
Other,2003,1,2003-1,550,550
Agriculture,2003,10,2003-10,137,282
Currencies,2003,10,2003-10,838,2342
Energy,2003,10,2003-10,705,1250
Equity,2003,10,2003-10,9316,0
"Interest Rates",2003,10,2003-10,519689,172584
Metals,2003,10,2003-10,4287,0
Other,2003,10,2003-10,6400,6400
Agriculture,2003,11,2003-11,113,342
Currencies,2003,11,2003-11,429,2241
Energy,2003,11,2003-11,435,1485
Equity,2003,11,2003-11,69754,0
"Interest Rates",2003,11,2003-11,404685,182289
Metals,2003,11,2003-11,20,20
Other,2003,11,2003-11,5600,12000
Agriculture,2003,12,2003-12,72,284
Currencies,2003,12,2003-12,4929,2335
Energy,2003,12,2003-12,245,1330
Equity,2003,12,2003-12,28630,0
"Interest Rates",2003,12,2003-12,776196,153793
Metals,2003,12,2003-12,20,0
Other,2003,12,2003-12,1200,13200
Agriculture,2003,2,2003-2,209,305
Currencies,2003,2,2003-2,1257,1449
Energy,2003,2,2003-2,100,240
Equity,2003,2,2003-2,22730,0
"Interest Rates",2003,2,2003-2,0,100
Metals,2003,2,2003-2,8583,0
Other,2003,2,2003-2,40,30
Agriculture,2003,3,2003-3,189,354
Currencies,2003,3,2003-3,3519,1679
Energy,2003,3,2003-3,0,235
Equity,2003,3,2003-3,23867,0
"Interest Rates",2003,3,2003-3,100,0
Metals,2003,3,2003-3,230,55
Other,2003,3,2003-3,190,150
Agriculture,2003,4,2003-4,141,256
Currencies,2003,4,2003-4,810,1736
Energy,2003,4,2003-4,55,190
Equity,2003,4,2003-4,10214,0
"Interest Rates",2003,4,2003-4,343347,140099
Metals,2003,4,2003-4,93,93
Other,2003,4,2003-4,132082,98345
Agriculture,2003,5,2003-5,229,266
Currencies,2003,5,2003-5,1156,1644
Energy,2003,5,2003-5,25,210
Equity,2003,5,2003-5,45094,0
"Interest Rates",2003,5,2003-5,524691,202477
Metals,2003,5,2003-5,20,20
Other,2003,5,2003-5,158329,137487
Agriculture,2003,6,2003-6,311,411
Currencies,2003,6,2003-6,4299,1739
Energy,2003,6,2003-6,140,310
Equity,2003,6,2003-6,18573,0
"Interest Rates",2003,6,2003-6,863683,156023
Metals,2003,6,2003-6,20,0
Other,2003,6,2003-6,113393,161671
Agriculture,2003,7,2003-7,141,474
Currencies,2003,7,2003-7,1194,2023
Energy,2003,7,2003-7,440,590
Equity,2003,7,2003-7,9445,0
"Interest Rates",2003,7,2003-7,610818,178534
Metals,2003,7,2003-7,80,0
Other,2003,7,2003-7,211364,154371
Agriculture,2003,8,2003-8,244,365
Currencies,2003,8,2003-8,845,2056
Energy,2003,8,2003-8,320,775
Equity,2003,8,2003-8,6532,0
"Interest Rates",2003,8,2003-8,431257,179455
Metals,2003,8,2003-8,6364,0
Other,2003,8,2003-8,178110,158747
Agriculture,2003,9,2003-9,87,383
Currencies,2003,9,2003-9,4990,2045
Energy,2003,9,2003-9,115,845
Equity,2003,9,2003-9,10602,0
"Interest Rates",2003,9,2003-9,755503,147484
Metals,2003,9,2003-9,4177,0
Other,2003,9,2003-9,169332,176682
Agriculture,2004,1,2004-1,96,323
Currencies,2004,1,2004-1,1054,2960
Energy,2004,1,2004-1,90,1285
Equity,2004,1,2004-1,25155,0
"Interest Rates",2004,1,2004-1,434951,215615
Metals,2004,1,2004-1,132,110
Other,2004,1,2004-1,6404,19604
Agriculture,2004,10,2004-10,30,37
Currencies,2004,10,2004-10,619,3779
Energy,2004,10,2004-10,370,2425
Equity,2004,10,2004-10,15463,0
"Interest Rates",2004,10,2004-10,532057,250626
Metals,2004,10,2004-10,0,220
Other,2004,10,2004-10,0,27455
Agriculture,2004,11,2004-11,35,62
Currencies,2004,11,2004-11,1247,4310
Energy,2004,11,2004-11,10,10
Equity,2004,11,2004-11,106084,0
"Interest Rates",2004,11,2004-11,649618,291628
Metals,2004,11,2004-11,440,220
Other,2004,11,2004-11,0,27455
Agriculture,2004,12,2004-12,33,32
Currencies,2004,12,2004-12,8071,429
Energy,2004,12,2004-12,0,10
Equity,2004,12,2004-12,57314,0
"Interest Rates",2004,12,2004-12,1135960,249534
Metals,2004,12,2004-12,0,220
Other,2004,12,2004-12,0,27455
Agriculture,2004,2,2004-2,82,248
Currencies,2004,2,2004-2,892,2847
Energy,2004,2,2004-2,200,1325
Equity,2004,2,2004-2,11750,0
"Interest Rates",2004,2,2004-2,459026,240464
Metals,2004,2,2004-2,360,170
Other,2004,2,2004-2,0,19604
Agriculture,2004,3,2004-3,91,303
Currencies,2004,3,2004-3,6977,3247
Energy,2004,3,2004-3,420,1690
Equity,2004,3,2004-3,16353,0
"Interest Rates",2004,3,2004-3,1085295,212289
Metals,2004,3,2004-3,50,220
Other,2004,3,2004-3,2002,21606
Agriculture,2004,4,2004-4,132,176
Currencies,2004,4,2004-4,539,2826
Energy,2004,4,2004-4,1370,2305
Equity,2004,4,2004-4,21308,0
"Interest Rates",2004,4,2004-4,602455,270725
Metals,2004,4,2004-4,440,220
Other,2004,4,2004-4,0,21606
Agriculture,2004,5,2004-5,92,191
Currencies,2004,5,2004-5,1280,3470
Energy,2004,5,2004-5,505,2520
Equity,2004,5,2004-5,59165,0
"Interest Rates",2004,5,2004-5,521778,220319
Metals,2004,5,2004-5,440,220
Other,2004,5,2004-5,1200,22806
Agriculture,2004,6,2004-6,83,117
Currencies,2004,6,2004-6,12074,3349
Energy,2004,6,2004-6,235,2610
Equity,2004,6,2004-6,34346,0
"Interest Rates",2004,6,2004-6,936602,198190
Metals,2004,6,2004-6,0,220
Other,2004,6,2004-6,2800,25606
Agriculture,2004,7,2004-7,19,132
Currencies,2004,7,2004-7,1155,3725
Energy,2004,7,2004-7,205,2450
Equity,2004,7,2004-7,14292,0
"Interest Rates",2004,7,2004-7,553168,201905
Metals,2004,7,2004-7,440,220
Other,2004,7,2004-7,0,25606
Agriculture,2004,8,2004-8,66,55
Currencies,2004,8,2004-8,554,3800
Energy,2004,8,2004-8,100,2550
Equity,2004,8,2004-8,47274,0
"Interest Rates",2004,8,2004-8,496647,203021
Metals,2004,8,2004-8,0,220
Other,2004,8,2004-8,0,25606
Agriculture,2004,9,2004-9,67,79
Currencies,2004,9,2004-9,7400,3604
Energy,2004,9,2004-9,20,2550
Equity,2004,9,2004-9,51997,0
"Interest Rates",2004,9,2004-9,1149880,234341
Metals,2004,9,2004-9,440,220
Other,2004,9,2004-9,1849,27455
Agriculture,2005,1,2005-1,77,80
Currencies,2005,1,2005-1,466,538
Energy,2005,1,2005-1,63,2355
Equity,2005,1,2005-1,22646,0
"Interest Rates",2005,1,2005-1,540047,266447
Metals,2005,1,2005-1,440,220
Other,2005,1,2005-1,0,27455
Agriculture,2005,10,2005-10,12,14
Currencies,2005,10,2005-10,0,121
Energy,2005,10,2005-10,1,0
Equity,2005,10,2005-10,24334,0
"Interest Rates",2005,10,2005-10,645753,308412
Metals,2005,10,2005-10,0,220
Other,2005,10,2005-10,0,31456
Agriculture,2005,11,2005-11,0,14
Currencies,2005,11,2005-11,0,66
Energy,2005,11,2005-11,0,545
Equity,2005,11,2005-11,31513,0
"Interest Rates",2005,11,2005-11,661389,319279
Metals,2005,11,2005-11,440,220
Other,2005,11,2005-11,0,31456
Agriculture,2005,12,2005-12,1,7
Currencies,2005,12,2005-12,0,37
Energy,2005,12,2005-12,50,50
Equity,2005,12,2005-12,90463,0
"Interest Rates",2005,12,2005-12,1566505,286861
Metals,2005,12,2005-12,0,220
Other,2005,12,2005-12,0,31456
Agriculture,2005,2,2005-2,83,63
Currencies,2005,2,2005-2,665,752
Energy,2005,2,2005-2,0,10
Equity,2005,2,2005-2,29237,0
"Interest Rates",2005,2,2005-2,579908,295892
Metals,2005,2,2005-2,0,220
Other,2005,2,2005-2,1080,200
Agriculture,2005,3,2005-3,24,74
Currencies,2005,3,2005-3,745,477
Energy,2005,3,2005-3,20,20
Equity,2005,3,2005-3,35490,0
"Interest Rates",2005,3,2005-3,1335101,281274
Metals,2005,3,2005-3,440,220
Other,2005,3,2005-3,3940,3050
Agriculture,2005,4,2005-4,26,34
Currencies,2005,4,2005-4,683,823
Energy,2005,4,2005-4,5,5
Equity,2005,4,2005-4,15070,0
"Interest Rates",2005,4,2005-4,595624,281088
Metals,2005,4,2005-4,0,220
Other,2005,4,2005-4,100,100
Agriculture,2005,5,2005-5,24,33
Currencies,2005,5,2005-5,100,787
Energy,2005,5,2005-5,0,20
Equity,2005,5,2005-5,62420,0
"Interest Rates",2005,5,2005-5,587364,300114
Metals,2005,5,2005-5,440,220
Other,2005,5,2005-5,100,0
Agriculture,2005,6,2005-6,38,32
Currencies,2005,6,2005-6,0,127
Energy,2005,6,2005-6,1,1
Equity,2005,6,2005-6,54801,0
"Interest Rates",2005,6,2005-6,1508416,304066
Metals,2005,6,2005-6,0,220
Other,2005,6,2005-6,1400,31456
Agriculture,2005,7,2005-7,0,32
Currencies,2005,7,2005-7,186,139
Energy,2005,7,2005-7,0,1
Equity,2005,7,2005-7,23722,0
"Interest Rates",2005,7,2005-7,605851,313442
Metals,2005,7,2005-7,440,220
Other,2005,7,2005-7,0,31456
Agriculture,2005,8,2005-8,53,37
Currencies,2005,8,2005-8,136,188
Energy,2005,8,2005-8,0,1
Equity,2005,8,2005-8,41233,0
"Interest Rates",2005,8,2005-8,767236,324646
Metals,2005,8,2005-8,0,220
Other,2005,8,2005-8,0,31456
Agriculture,2005,9,2005-9,71,82
Currencies,2005,9,2005-9,465,143
Energy,2005,9,2005-9,0,1
Equity,2005,9,2005-9,59309,0
"Interest Rates",2005,9,2005-9,1628258,296797
Metals,2005,9,2005-9,440,220
Other,2005,9,2005-9,0,31456
Agriculture,2006,1,2006-1,0,7
Currencies,2006,1,2006-1,110,39
Energy,2006,1,2006-1,120,170
Equity,2006,1,2006-1,20239,0
"Interest Rates",2006,1,2006-1,655096,333139
Metals,2006,1,2006-1,440,220
Other,2006,1,2006-1,0,31456
Agriculture,2006,10,2006-10,30,27
Currencies,2006,10,2006-10,5,5
Energy,2006,10,2006-10,185,331
Equity,2006,10,2006-10,42416,0
"Interest Rates",2006,10,2006-10,944434,478207
Metals,2006,10,2006-10,60,280
Other,2006,10,2006-10,0,925
Agriculture,2006,11,2006-11,8,26
Currencies,2006,11,2006-11,2,3
Energy,2006,11,2006-11,50,366
Equity,2006,11,2006-11,74685,0
"Interest Rates",2006,11,2006-11,1013660,506985
Metals,2006,11,2006-11,560,280
Other,2006,11,2006-11,0,925
Agriculture,2006,12,2006-12,4,9
Currencies,2006,12,2006-12,70,70
Energy,2006,12,2006-12,45,361
Equity,2006,12,2006-12,90140,0
"Interest Rates",2006,12,2006-12,2227471,411857
Metals,2006,12,2006-12,360,80
Other,2006,12,2006-12,0,925
Agriculture,2006,2,2006-2,4,0
Currencies,2006,2,2006-2,164,12
Energy,2006,2,2006-2,210,380
Equity,2006,2,2006-2,63675,0
"Interest Rates",2006,2,2006-2,831316,315725
Metals,2006,2,2006-2,0,220
Other,2006,2,2006-2,925,925
Agriculture,2006,3,2006-3,461,781
Currencies,2006,3,2006-3,431,240
Energy,2006,3,2006-3,330,521
Equity,2006,3,2006-3,58468,0
"Interest Rates",2006,3,2006-3,2052681,353535
Metals,2006,3,2006-3,440,220
Other,2006,3,2006-3,0,925
Agriculture,2006,4,2006-4,166,664
Currencies,2006,4,2006-4,165,118
Energy,2006,4,2006-4,130,471
Equity,2006,4,2006-4,44164,0
"Interest Rates",2006,4,2006-4,716373,365178
Metals,2006,4,2006-4,0,220
Other,2006,4,2006-4,0,925
Agriculture,2006,5,2006-5,1,1
Currencies,2006,5,2006-5,144,46
Energy,2006,5,2006-5,30,491
Equity,2006,5,2006-5,47733,0
"Interest Rates",2006,5,2006-5,871172,321014
Metals,2006,5,2006-5,440,220
Other,2006,5,2006-5,0,925
Agriculture,2006,6,2006-6,144,642
Currencies,2006,6,2006-6,86,37
Energy,2006,6,2006-6,0,491
Equity,2006,6,2006-6,93031,0
"Interest Rates",2006,6,2006-6,1775118,319098
Metals,2006,6,2006-6,0,220
Other,2006,6,2006-6,0,925
Agriculture,2006,7,2006-7,475,905
Currencies,2006,7,2006-7,54,7
Energy,2006,7,2006-7,90,441
Equity,2006,7,2006-7,35309,0
"Interest Rates",2006,7,2006-7,823457,359596
Metals,2006,7,2006-7,400,180
Other,2006,7,2006-7,0,925
Agriculture,2006,8,2006-8,279,867
Currencies,2006,8,2006-8,153,30
Energy,2006,8,2006-8,0,446
Equity,2006,8,2006-8,45961,0
"Interest Rates",2006,8,2006-8,1021109,385722
Metals,2006,8,2006-8,40,220
Other,2006,8,2006-8,40,925
Agriculture,2006,9,2006-9,6,6
Currencies,2006,9,2006-9,47,6
Energy,2006,9,2006-9,81,501
Equity,2006,9,2006-9,77862,0
"Interest Rates",2006,9,2006-9,2119512,411884
Metals,2006,9,2006-9,440,220
Other,2006,9,2006-9,0,925
Agriculture,2007,1,2007-1,6,9
Currencies,2007,1,2007-1,390,320
Energy,2007,1,2007-1,406,552
Equity,2007,1,2007-1,24846,0
"Interest Rates",2007,1,2007-1,899642,478484
Metals,2007,1,2007-1,460,220
Other,2007,1,2007-1,0,925
Agriculture,2007,10,2007-10,8,5
Currencies,2007,10,2007-10,170,175
Energy,2007,10,2007-10,144,325
Equity,2007,10,2007-10,39554,0
"Interest Rates",2007,10,2007-10,1229247,577376
Metals,2007,10,2007-10,300,100
Other,2007,10,2007-10,2014,2187
Agriculture,2007,11,2007-11,3,8
Currencies,2007,11,2007-11,550,655
Energy,2007,11,2007-11,50,335
Equity,2007,11,2007-11,64392,0
"Interest Rates",2007,11,2007-11,1492638,586761
Metals,2007,11,2007-11,100,0
Other,2007,11,2007-11,5023,3331
Agriculture,2007,12,2007-12,3,4
Currencies,2007,12,2007-12,360,970
Energy,2007,12,2007-12,5,335
Equity,2007,12,2007-12,94023,0
"Interest Rates",2007,12,2007-12,2291504,463251
Metals,2007,12,2007-12,20,20
Other,2007,12,2007-12,2646,2678
Agriculture,2007,2,2007-2,14,11
Currencies,2007,2,2007-2,200,485
Energy,2007,2,2007-2,117,649
Equity,2007,2,2007-2,57342,0
"Interest Rates",2007,2,2007-2,1200632,523842
Metals,2007,2,2007-2,220,160
Other,2007,2,2007-2,0,925
Agriculture,2007,3,2007-3,25,32
Currencies,2007,3,2007-3,465,400
Energy,2007,3,2007-3,185,854
Equity,2007,3,2007-3,66657,0
"Interest Rates",2007,3,2007-3,2632577,412524
Metals,2007,3,2007-3,280,120
Other,2007,3,2007-3,0,925
Agriculture,2007,4,2007-4,7,24
Currencies,2007,4,2007-4,150,465
Energy,2007,4,2007-4,264,455
Equity,2007,4,2007-4,48762,0
"Interest Rates",2007,4,2007-4,758364,508051
Metals,2007,4,2007-4,0,120
Other,2007,4,2007-4,0,925
Agriculture,2007,5,2007-5,22,39
Currencies,2007,5,2007-5,60,525
Energy,2007,5,2007-5,80,529
Equity,2007,5,2007-5,59318,0
"Interest Rates",2007,5,2007-5,960915,479801
Metals,2007,5,2007-5,120,0
Other,2007,5,2007-5,980,617
Agriculture,2007,6,2007-6,18,15
Currencies,2007,6,2007-6,230,625
Energy,2007,6,2007-6,6,529
Equity,2007,6,2007-6,91255,0
"Interest Rates",2007,6,2007-6,2458737,557140
Metals,2007,6,2007-6,180,180
Other,2007,6,2007-6,1170,1068
Agriculture,2007,7,2007-7,2,17
Currencies,2007,7,2007-7,100,725
Energy,2007,7,2007-7,115,384
Equity,2007,7,2007-7,48038,0
"Interest Rates",2007,7,2007-7,1344018,695286
Metals,2007,7,2007-7,0,180
Other,2007,7,2007-7,1015,1267
Agriculture,2007,8,2007-8,9,16
Currencies,2007,8,2007-8,0,445
Energy,2007,8,2007-8,25,409
Equity,2007,8,2007-8,55996,0
"Interest Rates",2007,8,2007-8,1747996,568133
Metals,2007,8,2007-8,440,100
Other,2007,8,2007-8,2515,1031
Agriculture,2007,9,2007-9,2,17
Currencies,2007,9,2007-9,50,305
Energy,2007,9,2007-9,0,409
Equity,2007,9,2007-9,56473,0
"Interest Rates",2007,9,2007-9,2153856,436698
Metals,2007,9,2007-9,0,100
Other,2007,9,2007-9,1871,1327
Agriculture,2008,1,2008-1,0,4
Currencies,2008,1,2008-1,20,970
Energy,2008,1,2008-1,153,176
Equity,2008,1,2008-1,43128,0
"Interest Rates",2008,1,2008-1,1044921,485435
Metals,2008,1,2008-1,120,80
Other,2008,1,2008-1,3115,1304
Agriculture,2008,10,2008-10,18,14
Currencies,2008,10,2008-10,955,2080
Energy,2008,10,2008-10,270,395
Equity,2008,10,2008-10,40011,0
"Interest Rates",2008,10,2008-10,850013,355535
Metals,2008,10,2008-10,0,80
Other,2008,10,2008-10,181,74
Agriculture,2008,11,2008-11,14,26
Currencies,2008,11,2008-11,1135,1391
Energy,2008,11,2008-11,0,395
Equity,2008,11,2008-11,70833,0
"Interest Rates",2008,11,2008-11,469159,338080
Metals,2008,11,2008-11,160,80
Other,2008,11,2008-11,147,18
Agriculture,2008,12,2008-12,7,16
Currencies,2008,12,2008-12,2760,957
Energy,2008,12,2008-12,100,495
Equity,2008,12,2008-12,123505,0
"Interest Rates",2008,12,2008-12,1038368,251050
Metals,2008,12,2008-12,0,80
Other,2008,12,2008-12,18,1
Agriculture,2008,2,2008-2,46,16
Currencies,2008,2,2008-2,11935,1570
Energy,2008,2,2008-2,11,187
Equity,2008,2,2008-2,71028,0
"Interest Rates",2008,2,2008-2,884032,592021
Metals,2008,2,2008-2,922,0
