Standardized_Contract,Contract_Type,Group_Name,Country,Region,Exchange_Name,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change, Volume_YTD ,Volume_YTD_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change, Open_Interest_YTD ,Open_Interest_YTD_Change
NZ Electricity Base Load Quarterly (EE),Future,Energy,Australia,Asia,ASX 24,ASX,"4,681",62.30%,154.40%," 34,686 ",34.90%,"8,735",7.90%,-0.90%," 69,184 ",-9.20%
NZ Electricity Base Load Quarterly (EA),Future,Energy,Australia,Asia,ASX 24,ASX,"5,142",56.30%,344.40%," 30,874 ",28.30%,"10,543",11.00%,30.30%," 81,579 ",16.20%
Electricity Base Load Quarterly QLD,Future,Energy,Australia,Asia,ASX 24,ASX,"2,202",41.90%,9.80%," 33,043 ",15.70%,"10,926",6.40%,-10.20%," 95,414 ",-4.90%
Electricity Base Load Quarterly VIC,Future,Energy,Australia,Asia,ASX 24,ASX,"3,286",67.00%,-8.90%," 36,028 ",5.50%,"12,014",9.50%,33.20%," 101,605 ",34.40%
Eastern Australia Wheat,Future,Agriculture,Australia,Asia,ASX 24,ASX,"10,160",102.90%,305.90%," 54,026 ",457.50%,"16,439",5.70%,218.20%," 87,185 ",350.60%
20 Year Treasury Bond,Future,Interest Rates,Australia,Asia,ASX 24,ASX,"54,926",153.30%,-54.60%," 313,049 ",-20.10%,"22,572",-13.20%,-2.60%," 216,774 ",4.10%
SPI 200,Option,Equity,Australia,Asia,ASX 24,ASX,"34,814",1422.30%,30.20%," 124,201 ",-44.90%,"82,447",-1.50%,-16.90%," 825,666 ",-8.70%
New Zealand 90 Day Bank Bill,Future,Interest Rates,Australia,Asia,ASX 24,ASX,"140,175",30.80%,17.00%," 1,116,046 ",-20.20%,"127,848",-26.90%,10.30%," 1,372,610 ",-4.10%
30 Day Interbank Cash Rate,Future,Interest Rates,Australia,Asia,ASX 24,ASX,"181,988",59.10%,-16.40%," 1,482,353 ",-52.80%,"192,643",12.20%,21.00%," 1,610,448 ",-10.70%
SPI 200,Future,Equity,Australia,Asia,ASX 24,ASX,"1,694,097",123.10%,4.70%," 9,438,798 ",3.60%,"266,726",3.80%,-5.00%," 2,566,638 ",5.00%
10 Year Treasury Bond,Future,Interest Rates,Australia,Asia,ASX 24,ASX,"5,588,896",129.50%,9.10%," 32,737,033 ",10.50%,"1,009,213",-4.50%,22.80%," 8,921,297 ",18.20%
90 Day Bank Bill,Future,Interest Rates,Australia,Asia,ASX 24,ASX,"3,037,304",42.30%,17.80%," 23,217,369 ",4.80%,"1,044,579",5.10%,3.90%," 9,287,116 ",10.10%
3 Year Treasury Bond,Future,Interest Rates,Australia,Asia,ASX 24,ASX,"6,631,892",103.80%,15.80%," 42,337,807 ",11.90%,"1,113,344",-1.10%,37.30%," 9,044,717 ",26.40%
All Options on Individual Equities,Option,Equity,Greece,Other,Athens Derivatives Exchange,Athens Derivatives Exchange,"3,445",574.20%,384.50%," 19,252 ",97.70%,"2,165",38.80%,225.10%," 15,243 ",117.10%
FTSE/Athex Large Cap,Future,Equity,Greece,Other,Athens Derivatives Exchange,Athens Derivatives Exchange,"48,218",29.10%,5.90%," 504,301 ",-30.90%,"4,546",-0.70%,-22.50%," 64,043 ",-40.70%
FTSE/Athex Large Cap,Option,Equity,Greece,Other,Athens Derivatives Exchange,Athens Derivatives Exchange,"7,794",107.50%,138.60%," 55,374 ",12.90%,"5,114",186.30%,156.90%," 23,291 ",-5.50%
All Futures on Individual Equities,Future,Equity,Greece,Other,Athens Derivatives Exchange,Athens Derivatives Exchange,"2,391,579",236.50%,109.70%," 14,224,020 ",34.00%,"334,751",-36.10%,27.90%," 4,017,977 ",91.60%
Arabica Coffee,Future,Agriculture,Brazil,Latin America,B3,B3,"10,727",-14.60%,10.70%," 77,653 ",-16.50%,"9,000",-7.90%,9.90%," 70,296 ",-13.00%
Arabica Coffee Rollover,Future,Agriculture,Brazil,Latin America,B3,B3,"3,808",79.50%,," 10,820 ",39.80%,0,,,,0.00%
Australian Dollar,Future,Currencies,Brazil,Latin America,B3,B3,"5,508",40.90%,1.90%," 49,572 ",42.90%,"2,116",14.80%,-21.50%," 19,623 ",-18.50%
Bovespa Mini Index,Future,Equity,Brazil,Latin America,B3,B3,"29,562,547",14.00%,125.50%," 186,743,094 ",86.90%,"148,834",125.70%,74.80%," 745,537 ",-9.00%
Bovespa Rollover,Future,Equity,Brazil,Latin America,B3,B3,"38,310",-95.80%,482.20%," 3,140,550 ",-1.70%,0,,,,0.00%
Bovespa Stock Index,Future,Equity,Brazil,Latin America,B3,B3,"1,743,575",-9.90%,16.60%," 13,911,095 ",-2.30%,"440,043",16.30%,32.20%," 2,937,882 ",-6.40%
Canadian Dollar,Future,Currencies,Brazil,Latin America,B3,B3,"5,278",121.40%,79.80%," 36,222 ",147.90%,"2,034",48.50%,80.60%," 13,738 ",92.30%
Chilean Peso,Future,Currencies,Brazil,Latin America,B3,B3,0,-100.00%,-100.00%," 8,478 ",-37.10%,425,0.00%,-58.90%," 6,073 ",-19.30%
Corn Cash Settled,Future,Agriculture,Brazil,Latin America,B3,B3,"79,045",-3.40%,53.40%," 614,834 ",2.90%,"17,926",-29.60%,-11.20%," 216,370 ",0.80%
Cross Listing Mini-Sized Soybean CME,Future,Agriculture,Brazil,Latin America,B3,B3,"3,907",-32.30%,-18.30%," 50,736 ",-24.20%,"2,512",-6.50%,34.30%," 26,176 ",16.30%
E-mini S&P 500,Future,Equity,Brazil,Latin America,B3,B3,"11,367",-25.20%,-26.90%," 110,766 ",-17.10%,"5,594",9.30%,60.80%," 35,497 ",-20.20%
E-mini S&P 500 Rollover,Future,Equity,Brazil,Latin America,B3,B3,"9,010",,63.10%," 19,476 ",-3.20%,0,,,,0.00%
Euro,Future,Currencies,Brazil,Latin America,B3,B3,"21,960",-66.30%,-17.60%," 310,600 ",-3.30%,"28,989",-0.40%,77.40%," 180,270 ",4.00%
Forward Exchange Rate,Future,Currencies,Brazil,Latin America,B3,B3,"4,901",18750.00%,8975.90%," 102,777 ",397.00%,"21,006",9.80%,71.20%," 223,179 ",158.10%
Gold Spot (250g),Future,Metals,Brazil,Latin America,B3,B3,580,-54.50%,24.20%," 6,028 ",10.90%,0,,,,0.00%
Hydrous Ethanol,Future,Other,Brazil,Latin America,B3,B3,"1,513",-17.70%,-50.20%," 13,969 ",-32.20%,"3,008",22.20%,-26.70%," 18,097 ",-38.00%
IBrX-50,Future,Equity,Brazil,Latin America,B3,B3,"2,185",821.90%,18.30%," 12,080 ",-29.10%,"1,266",-1.80%,14.40%," 10,209 ",-27.40%
ID x IPCA spread,Future,Interest Rates,Brazil,Latin America,B3,B3,"225,965",3.10%,909.50%," 1,453,875 ",597.20%,"380,377",13.20%,469.90%," 2,048,255 ",562.90%
ID x US Dollar FRA,Future,Interest Rates,Brazil,Latin America,B3,B3,"6,548,824",30.60%,41.70%," 46,273,396 ",4.20%,0,,,,0.00%
ID x US Dollar Spread,Future,Interest Rates,Brazil,Latin America,B3,B3,"234,020",8.20%,1.40%," 1,392,635 ",-38.70%,"3,288,377",0.00%,-11.50%," 28,439,423 ",-16.00%
ID x US Dollar Swap with reset,Future,Interest Rates,Brazil,Latin America,B3,B3,0,,," 18,000 ",-88.60%,"555,365",0.00%,-39.00%," 4,632,975 ",-68.60%
Interbank Deposits SELIC,Future,Interest Rates,Brazil,Latin America,B3,B3,0,,-100.00%," 20,000 ",-94.70%,"20,000",0.00%,-97.70%," 159,400 ",-98.60%
Interest Rate Swap,Future,Interest Rates,Brazil,Latin America,B3,B3,"9,924",9.70%,-14.90%," 89,464 ",10.70%,"474,648",-3.60%,-33.20%," 4,897,133 ",-35.10%
Interest Rate x Exchange Rate,Future,Interest Rates,Brazil,Latin America,B3,B3,"1,377",-89.00%,-70.20%," 114,733 ",-65.10%,"1,457,532",-11.20%,-25.30%," 14,538,530 ",-32.50%
Interest Rate x Price Index Swap,Future,Interest Rates,Brazil,Latin America,B3,B3,0,-100.00%,-100.00%," 27,300 ",-95.10%,"1,029,491",-0.90%,-33.40%," 10,271,378 ",-33.90%
Interest Rate x Reference Rate Swap,Future,Interest Rates,Brazil,Latin America,B3,B3,0,,," 6,000 ",0.00%,"7,200",0.00%,125.00%," 40,800 ",41.70%
Live Cattle,Future,Agriculture,Brazil,Latin America,B3,B3,"62,150",-5.40%,13.00%," 385,160 ",9.30%,"11,173",4.90%,-40.00%," 69,482 ",-46.30%
Mexican Peso,Future,Currencies,Brazil,Latin America,B3,B3,"4,265",-8.20%,40.70%," 24,196 ",-18.30%,"1,917",23.70%,90.80%," 10,347 ",-20.90%
Mini Euro,Future,Currencies,Brazil,Latin America,B3,B3,19,-61.20%,, 131 ,0.00%,22,266.70%,, 72 ,0.00%
Mini US Dollar,Future,Currencies,Brazil,Latin America,B3,B3,"12,777,310",-17.80%,29.90%," 103,090,546 ",58.80%,"90,533",-14.20%,102.30%," 615,839 ",54.20%
New Zealand Dollar,Future,Currencies,Brazil,Latin America,B3,B3,"1,155",-13.90%,862.50%," 6,887 ",151.40%,716,15.90%,922.90%," 2,516 ",141.00%
Odd-lot gold spot (0.225g),Future,Metals,Brazil,Latin America,B3,B3,"6,070",33.60%,137.70%," 31,013 ",35.20%,0,,,,0.00%
Odd-lot gold spot (10g.),Future,Metals,Brazil,Latin America,B3,B3,"1,910",-8.90%,47.50%," 14,266 ",5.90%,0,,,,0.00%
One Day Inter-Bank Deposit,Future,Interest Rates,Brazil,Latin America,B3,B3,"33,133,114",4.50%,10.30%," 273,123,545 ",30.00%,"22,894,678",2.30%,15.70%," 183,584,246 ",21.00%
Pound Sterling,Future,Currencies,Brazil,Latin America,B3,B3,"3,060",-4.40%,72.80%," 23,461 ",0.00%,"1,185",120.70%,6.90%," 9,445 ",-34.00%
Price Index x Exchange Rate Swap,Future,Interest Rates,Brazil,Latin America,B3,B3,0,,,,,"2,393",0.00%,0.00%," 21,537 ",0.00%
South African Rand,Future,Currencies,Brazil,Latin America,B3,B3,"2,502",-9.90%,1950.80%," 10,248 ",69.30%,723,-17.30%,792.60%," 4,296 ",106.90%
Swiss Franc,Future,Currencies,Brazil,Latin America,B3,B3,"1,057",-32.90%,-6.00%," 8,999 ",-15.50%,284,-55.10%,-65.70%," 3,937 ",-44.40%
Turkish Lira,Future,Currencies,Brazil,Latin America,B3,B3,"3,115",-41.10%,554.40%," 16,772 ",66.20%,"1,052",-26.60%,393.90%," 5,578 ",109.10%
US Dollar,Future,Currencies,Brazil,Latin America,B3,B3,"6,280,475",1.50%,-4.20%," 54,119,310 ",1.70%,"1,071,489",20.50%,-3.30%," 8,418,524 ",-19.00%
US Dollar forward points,Future,Currencies,Brazil,Latin America,B3,B3,"395,175",0.40%,-3.40%," 3,746,635 ",2.80%,0,,,,0.00%
US Dollar Rollover,Future,Currencies,Brazil,Latin America,B3,B3,"1,326,370",14.10%,-11.90%," 10,987,074 ",-14.90%,0,,,,0.00%
US Treasury Note,Future,Interest Rates,Brazil,Latin America,B3,B3,"3,574",-45.90%,308.00%," 32,296 ",286.50%,"1,881",-7.70%,313.40%," 19,554 ",557.30%
West Texas Intermediate (WTI),Future,Energy,Brazil,Latin America,B3,B3,"4,461",-50.90%,502.00%," 53,594 ",289.90%,450,516.40%,373.70%," 6,306 ",32.00%
Yen,Future,Currencies,Brazil,Latin America,B3,B3,"7,134",40.80%,417.70%," 49,778 ",122.00%,"3,700",16.10%,477.20%," 25,321 ",171.80%
Yuan (CNY),Future,Currencies,Brazil,Latin America,B3,B3,378,,, 738 ,0.00%,170,,, 790 ,2035.10%
All Options on Individual Equities,Option,Equity,Brazil,Latin America,B3,B3,"62,561,309",6.30%,8.10%," 510,164,685 ",-1.10%,"21,808,641",5.90%,1.20%," 186,707,369 ",1.50%
Arabica Coffee,Option,Agriculture,Brazil,Latin America,B3,B3,210,-21.10%,172.70%," 1,973 ",179.10%,529,56.00%,200.60%," 2,681 ",-17.40%
Corn Cash Settled,Option,Agriculture,Brazil,Latin America,B3,B3,"19,655",-54.90%,70.10%," 230,125 ",36.40%,"24,726",-53.20%,20.90%," 408,757 ",14.70%
Exchange Traded Funds Options,Option,Equity,Brazil,Latin America,B3,B3,"3,736,163",-22.40%,1474.90%," 26,850,307 ",905.00%,"448,912",0.10%,1201.50%," 1,541,073 ",-7.50%
Flexible BOVA11 Index,Option,Equity,Brazil,Latin America,B3,B3,"3,972",-86.30%,1847.10%," 66,438 ",32467.60%,"12,926",-40.80%,6236.30%," 108,665 ",7639.70%
Flexible Bovespa Stock Index,Option,Equity,Brazil,Latin America,B3,B3,"23,644",-64.50%,83.90%," 290,774 ",123.40%,"131,338",10.00%,70.90%," 964,073 ",38.60%
Flexible Spot Interest Rate Index,Option,Other,Brazil,Latin America,B3,B3,"116,280",-38.00%,24.70%," 1,544,855 ",377.10%,"225,650",-71.00%,-20.10%," 4,793,223 ",223.70%
Flexible US Dollar,Option,Currencies,Brazil,Latin America,B3,B3,"14,267",271.10%,1729.10%," 92,070 ",-86.80%,"31,299",-92.00%,-91.80%," 3,036,226 ",15.90%
Gold Spot (250g),Option,Metals,Brazil,Latin America,B3,B3,80,,-13.00%," 35,072 ",2257.00%,80,-98.70%,-13.00%," 58,924 ",2738.30%
Ibovespa Index,Option,Equity,Brazil,Latin America,B3,B3,"109,389",-11.10%,46.30%," 810,512 ",-27.70%,"11,899",22.00%,-32.00%," 36,641 ",-93.00%
IDI Index,Option,Other,Brazil,Latin America,B3,B3,"14,988,108",29.90%,466.00%," 72,332,377 ",93.70%,"20,586,107",41.50%,102.40%," 107,652,823 ",56.70%
Live Cattle ,Option,Agriculture,Brazil,Latin America,B3,B3,"27,920",-60.80%,31.60%," 289,782 ",155.40%,"52,287",15.90%,112.40%," 237,584 ",52.30%
One Day Inter-Bank Deposit,Option,Interest Rates,Brazil,Latin America,B3,B3,"329,570",-50.30%,435.90%," 6,425,845 ",601.10%,"2,680,979",8.60%,1227.10%," 13,930,155 ",194.20%
Soybean Cash Settled ,Option,Agriculture,Brazil,Latin America,B3,B3,0,-100.00%,-100.00%, 34 ,-91.50%,34,0.00%,-24.40%, 211 ,-94.70%
US Dollar,Option,Currencies,Brazil,Latin America,B3,B3,"794,895",31.20%,51.50%," 7,116,675 ",22.10%,"871,337",21.70%,-20.20%," 7,894,422 ",-25.20%
US Dollar Option Volatility,Option,Currencies,Brazil,Latin America,B3,B3,"1,835",,83.50%," 1,835 ",-93.30%,0,,,,0.00%
All Options on Exchange Traded Funds,Option,Equity,United States,North America,Bats Exchange,BATS Exchange,"10,741,547",-31.70%,-34.10%," 133,203,170 ",7.10%,,,,,
All Options on Individual Equities,Option,Equity,United States,North America,Bats Exchange,BATS Exchange,"16,565,993",-11.60%,-23.60%," 179,859,416 ",-1.70%,,,,,
Colcap Index,Future,Equity,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,471,154.60%,201.90%," 1,540 ",361.10%,67,-22.10%,168.00%, 508 ,551.30%
2 Year Colombian Government Bond,Future,Interest Rates,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,"2,382",-22.60%,-27.00%," 36,695 ",-16.80%,446,-64.60%,-75.80%," 16,052 ",0.50%
Mini US Dollar,Future,Currencies,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,"7,907",-13.10%,-75.00%," 91,519 ",-25.10%,622,-52.20%,-65.10%," 9,592 ",-22.80%
US Dollar,Future,Currencies,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,"22,767",-17.20%,-49.90%," 215,380 ",-43.60%,"1,975",-33.30%,-27.00%," 19,975 ",-16.80%
10 Year Colombian Government Bond,Future,Interest Rates,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,"8,854",-38.90%,38.90%," 107,168 ",91.50%,"2,277",-34.60%,-12.60%," 26,392 ",34.00%
5 Year Colombian Government Bond,Future,Interest Rates,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,"7,264",-27.50%,177.50%," 49,699 ",101.40%,"3,250",-26.90%,40.30%," 22,049 ",44.20%
OIS,Future,Interest Rates,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,757,-32.30%,-83.60%," 15,339 ",-39.50%,"13,021",-5.70%,-16.70%," 153,627 ",57.60%
All Futures on Individual Equities,Future,Equity,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,"43,633",7.50%,-61.20%," 360,975 ",-17.50%,"28,046",1.40%,-32.60%," 345,963 ",8.90%
RUB/TRY,Future,Currencies,Turkey,Other,Borsa Istanbul,Borsa Istanbul,8,-55.60%,, 26 ,,0,,,,
FBIST ETF,Future,Equity,Turkey,Other,Borsa Istanbul,Borsa Istanbul,424,-2.30%,-9.80%," 3,939 ",-5.40%,0,-100.00%,-100.00%, 21 ,-86.30%
CNH/TRY,Future,Currencies,Turkey,Other,Borsa Istanbul,Borsa Istanbul,152,2940.00%,, 157 ,,13,1200.00%,, 14 ,
Base Load Electricity,Future,Energy,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"2,502",60.60%,-79.00%," 26,339 ",-86.20%,"1,170",28.30%,-75.00%," 14,173 ",-78.00%
BIST 30 Index,Option,Equity,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"10,187",-59.30%,-50.40%," 177,414 ",-18.40%,"14,571",33.30%,-16.30%," 151,141 ",-31.90%
USD/oz Gold,Future,Metals,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"180,924",-5.20%,148.80%," 1,372,174 ",66.50%,"21,817",54.80%,40.50%," 148,468 ",53.70%
TRY/EUR,Future,Currencies,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"172,424",-7.60%,107.30%," 1,320,528 ",-34.80%,"27,769",27.00%,6.00%," 218,976 ",-44.80%
Euro/US Dollar Cross Currency,Future,Currencies,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"192,451",-15.70%,69.40%," 1,308,280 ",14.60%,"29,719",137.60%,88.50%," 205,047 ",117.30%
Gold,Future,Metals,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"277,423",-7.60%,227.40%," 3,562,241 ",28.70%,"68,000",187.00%,294.00%," 472,594 ",21.50%
BIST 30 Index,Future,Equity,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"3,046,732",-24.30%,28.50%," 31,016,166 ",-10.10%,"354,483",0.10%,28.70%," 3,606,310 ",25.10%
TRY/USD,Future,Currencies,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"4,473,101",46.40%,189.10%," 44,184,867 ",97.00%,"427,816",-17.00%,49.20%," 4,501,387 ",50.00%
TRY/USD,Option,Currencies,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"613,269",-19.70%,38.10%," 6,241,244 ",111.20%,"504,370",95.10%,61.90%," 3,823,376 ",73.40%
All Options on Individual Equities,Option,Equity,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"285,353",31.90%,39.50%," 1,951,202 ",-2.10%,"704,808",51.30%,87.00%," 3,980,948 ",30.00%
All Futures on Individual Equities,Future,Equity,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"1,523,088",-9.00%,217.70%," 8,732,905 ",57.00%,"725,181",7.10%,47.80%," 3,931,348 ",6.30%
