Region,Year,Month,Report_Year_Month,Volume,Open_Interest
Other,2002,02,2002-02,6683398,4382873
Asia,2002,03,2002-03,150299406,10570623
Europe,2002,03,2002-03,138095640,130139210
"Latin America",2002,03,2002-03,21489648,11284577
"North America",2002,03,2002-03,140643064,113863609
Other,2002,03,2002-03,6049370,3022411
Asia,2002,04,2002-04,174490329,11531711
Europe,2002,04,2002-04,123334342,141975519
"Latin America",2002,04,2002-04,24448017,11487057
"North America",2002,04,2002-04,147463013,116278029
Other,2002,04,2002-04,5528658,3454120
Asia,2002,05,2002-05,188697184,12564669
Europe,2002,05,2002-05,130250270,155481957
"Latin America",2002,05,2002-05,26475214,11731406
"North America",2002,05,2002-05,152262182,123932937
Other,2002,05,2002-05,5285527,3633423
Asia,2002,06,2002-06,152099433,8958809
Europe,2002,06,2002-06,136824931,139026746
"Latin America",2002,06,2002-06,23489121,13196830
"North America",2002,06,2002-06,158421350,121810058
Other,2002,06,2002-06,6009599,3001696
Asia,2002,07,2002-07,225051176,13119192
Europe,2002,07,2002-07,153996186,157088419
"Latin America",2002,07,2002-07,24434680,14010065
"North America",2002,07,2002-07,191613641,131995653
Other,2002,07,2002-07,6737813,3202665
Asia,2002,08,2002-08,176648313,11821871
Europe,2002,08,2002-08,131261072,170932466
"Latin America",2002,08,2002-08,25128604,13205604
"North America",2002,08,2002-08,162255941,147049260
Other,2002,08,2002-08,6081355,3824866
Asia,2002,09,2002-09,200989467,11184948
Europe,2002,09,2002-09,155324105,144663727
"Latin America",2002,09,2002-09,22008663,13451801
"North America",2002,09,2002-09,146188533,133743976
Other,2002,09,2002-09,4875860,3522104
Asia,2002,10,2002-10,278100373,12949477
Europe,2002,10,2002-10,167724082,157277952
"Latin America",2002,10,2002-10,24379597,12185065
"North America",2002,10,2002-10,191813225,145330200
Other,2002,10,2002-10,5905023,3885251
Asia,2002,11,2002-11,244243502,12591267
Europe,2002,11,2002-11,130895215,167419999
"Latin America",2002,11,2002-11,26528470,12561471
"North America",2002,11,2002-11,154691509,148030115
Other,2002,11,2002-11,5476327,5119786
Asia,2002,12,2002-12,220291026,12024603
Europe,2002,12,2002-12,112268388,127976610
"Latin America",2002,12,2002-12,18368507,12810768
"North America",2002,12,2002-12,130917305,137374555
Other,2002,12,2002-12,6027584,3902262
Asia,2003,01,2003-01,253902166,12584759
Europe,2003,01,2003-01,159606556,151869030
"Latin America",2003,01,2003-01,27949609,17792996
"North America",2003,01,2003-01,160295983,121912002
Other,2003,01,2003-01,4244410,2550610
Asia,2003,02,2003-02,251977479,12964786
Europe,2003,02,2003-02,137923264,163510681
"Latin America",2003,02,2003-02,31373110,19645714
"North America",2003,02,2003-02,147111483,133502312
Other,2003,02,2003-02,4813661,4872082
Asia,2003,03,2003-03,283882122,12128543
Europe,2003,03,2003-03,190985768,132246354
"Latin America",2003,03,2003-03,34150824,21200845
"North America",2003,03,2003-03,178345753,137587669
Other,2003,03,2003-03,6050964,2966746
Asia,2003,04,2003-04,371092283,12651040
Europe,2003,04,2003-04,143116244,142662498
"Latin America",2003,04,2003-04,38885674,19445991
"North America",2003,04,2003-04,164815171,143687802
Other,2003,04,2003-04,4533284,3497435
Asia,2003,05,2003-05,251174745,12985058
Europe,2003,05,2003-05,146974044,154637143
"Latin America",2003,05,2003-05,42345021,21238704
"North America",2003,05,2003-05,188250948,157242035
Other,2003,05,2003-05,6425895,3846368
Asia,2003,06,2003-06,230959583,12577970
Europe,2003,06,2003-06,184831828,140035289
"Latin America",2003,06,2003-06,52699402,20855261
"North America",2003,06,2003-06,202238414,156800215
Other,2003,06,2003-06,8255845,3337620
Asia,2003,07,2003-07,254352369,13153630
Europe,2003,07,2003-07,156596157,153671103
"Latin America",2003,07,2003-07,39779139,22434382
"North America",2003,07,2003-07,200914529,169487353
Other,2003,07,2003-07,6934589,4265665
Asia,2003,08,2003-08,263867300,14127992
Europe,2003,08,2003-08,133440940,166658905
"Latin America",2003,08,2003-08,35017921,23808863
"North America",2003,08,2003-08,170353056,175529641
Other,2003,08,2003-08,4733537,4670219
Asia,2003,09,2003-09,298178430,13856985
Europe,2003,09,2003-09,191931421,152455713
"Latin America",2003,09,2003-09,43016973,28076464
"North America",2003,09,2003-09,196411021,178146215
Other,2003,09,2003-09,6313397,3916496
Asia,2003,10,2003-10,367451602,15321466
Europe,2003,10,2003-10,175873025,165019726
"Latin America",2003,10,2003-10,47053996,30933138
"North America",2003,10,2003-10,213086585,188152719
Other,2003,10,2003-10,5566336,4170548
Asia,2003,11,2003-11,311342074,14104153
Europe,2003,11,2003-11,137803277,173819463
"Latin America",2003,11,2003-11,40042302,32110480
"North America",2003,11,2003-11,174523289,186606735
Other,2003,11,2003-11,5726733,4369858
Asia,2003,12,2003-12,283148286,11809344
Europe,2003,12,2003-12,128089944,131387560
"Latin America",2003,12,2003-12,42081035,31580168
"North America",2003,12,2003-12,195811610,186061287
Other,2003,12,2003-12,7468088,3429214
Asia,2004,01,2004-01,203600445,13751831
Europe,2004,01,2004-01,180344301,159378949
"Latin America",2004,01,2004-01,49603888,30420973
"North America",2004,01,2004-01,235030833,176119324
Other,2004,01,2004-01,6513543,2979240
Asia,2004,02,2004-02,242354331,15008127
Europe,2004,02,2004-02,172649855,185236661
"Latin America",2004,02,2004-02,43116470,32101497
"North America",2004,02,2004-02,201480237,185914022
Other,2004,02,2004-02,7089657,5081495
Asia,2004,03,2004-03,333758309,14441765
Europe,2004,03,2004-03,228177537,166674211
"Latin America",2004,03,2004-03,55844516,32713881
"North America",2004,03,2004-03,250965669,195438237
Other,2004,03,2004-03,7165095,3775323
Asia,2004,04,2004-04,253413190,23189529
Europe,2004,04,2004-04,174397904,182428577
"Latin America",2004,04,2004-04,48139440,35312583
"North America",2004,04,2004-04,245259397,206309602
Other,2004,04,2004-04,4357450,4023862
Asia,2004,05,2004-05,325984210,13861979
Europe,2004,05,2004-05,166306723,192740337
"Latin America",2004,05,2004-05,57939597,37697061
"North America",2004,05,2004-05,231563021,208386844
Other,2004,05,2004-05,6269641,3887585
Asia,2004,06,2004-06,344095567,13427414
Europe,2004,06,2004-06,177267140,169420038
"Latin America",2004,06,2004-06,61352328,36965403
"North America",2004,06,2004-06,222538467,207594721
Other,2004,06,2004-06,6930399,3677200
Asia,2004,07,2004-07,245344497,13483834
Europe,2004,07,2004-07,146279653,184163843
"Latin America",2004,07,2004-07,61137342,38057170
"North America",2004,07,2004-07,219436629,213847519
Other,2004,07,2004-07,5583644,4058299
Asia,2004,08,2004-08,238129201,13761456
Europe,2004,08,2004-08,140181286,195258926
"Latin America",2004,08,2004-08,59281237,34068818
"North America",2004,08,2004-08,222074812,214728269
Other,2004,08,2004-08,7195082,4375674
Asia,2004,09,2004-09,238060408,13751155
Europe,2004,09,2004-09,187681755,172388992
"Latin America",2004,09,2004-09,59693340,34267501
"North America",2004,09,2004-09,235144243,218442703
Other,2004,09,2004-09,6364688,3984496
Asia,2004,10,2004-10,280199372,14139710
Europe,2004,10,2004-10,166395780,189708616
"Latin America",2004,10,2004-10,50895905,32060200
"North America",2004,10,2004-10,240397646,231486969
Other,2004,10,2004-10,6489816,4413536
Asia,2004,11,2004-11,268773667,15060099
Europe,2004,11,2004-11,175728792,204191854
"Latin America",2004,11,2004-11,46666098,32378134
"North America",2004,11,2004-11,262333721,234680288
Other,2004,11,2004-11,8155674,4763352
Asia,2004,12,2004-12,229949761,12899743
Europe,2004,12,2004-12,147528576,160612018
"Latin America",2004,12,2004-12,43241864,32260242
"North America",2004,12,2004-12,235474414,229178477
Other,2004,12,2004-12,9613739,3672942
Asia,2005,01,2005-01,235130344,15487486
Europe,2005,01,2005-01,173700944,184896143
"Latin America",2005,01,2005-01,46596259,35138385
"North America",2005,01,2005-01,258114125,196833287
Other,2005,01,2005-01,7617010,4286165
Asia,2005,02,2005-02,186031303,16681897
Europe,2005,02,2005-02,184544290,204748368
"Latin America",2005,02,2005-02,45028882,37906803
"North America",2005,02,2005-02,260184210,220159936
Other,2005,02,2005-02,7635548,4697012
Asia,2005,03,2005-03,305851705,16759624
Europe,2005,03,2005-03,205599667,183501100
"Latin America",2005,03,2005-03,65468028,35207971
"North America",2005,03,2005-03,310547533,230052035
Other,2005,03,2005-03,10323544,3781683
Asia,2005,04,2005-04,232308481,16451051
Europe,2005,04,2005-04,190440042,206342265
"Latin America",2005,04,2005-04,55409438,30146795
"North America",2005,04,2005-04,311494021,241802241
Other,2005,04,2005-04,7856331,4121847
Asia,2005,05,2005-05,243048864,17652303
Europe,2005,05,2005-05,181731743,216619064
"Latin America",2005,05,2005-05,42981483,29818427
"North America",2005,05,2005-05,281081318,243557824
Other,2005,05,2005-05,7406052,4656676
Asia,2005,06,2005-06,240228736,16618062
Europe,2005,06,2005-06,229386809,199448187
"Latin America",2005,06,2005-06,51833825,29635877
"North America",2005,06,2005-06,292959333,244594172
Other,2005,06,2005-06,12211349,4205554
Asia,2005,07,2005-07,277766204,18062319
Europe,2005,07,2005-07,175512874,223689771
"Latin America",2005,07,2005-07,40745916,29499665
"North America",2005,07,2005-07,255200947,261950515
Other,2005,07,2005-07,11008687,4780100
Asia,2005,08,2005-08,391269440,19823464
Europe,2005,08,2005-08,165443568,230452246
"Latin America",2005,08,2005-08,51670279,30337633
"North America",2005,08,2005-08,299445159,273122740
Other,2005,08,2005-08,11376514,5327825
Asia,2005,09,2005-09,344640427,18737254
Europe,2005,09,2005-09,211813742,209755883
"Latin America",2005,09,2005-09,46851555,32214402
"North America",2005,09,2005-09,324520590,276114807
Other,2005,09,2005-09,13593188,4940961
Asia,2005,10,2005-10,351220868,19419393
Europe,2005,10,2005-10,206253836,222148156
"Latin America",2005,10,2005-10,46561973,32425927
"North America",2005,10,2005-10,322802929,289015131
Other,2005,10,2005-10,8117194,5360938
Asia,2005,11,2005-11,313395382,20283985
Europe,2005,11,2005-11,206793260,232545373
"Latin America",2005,11,2005-11,52744010,34123948
"North America",2005,11,2005-11,356472410,328196197
Other,2005,11,2005-11,12507068,5878181
Asia,2005,12,2005-12,264587250,19062860
Europe,2005,12,2005-12,162693600,184304866
"Latin America",2005,12,2005-12,43086690,34203401
"North America",2005,12,2005-12,283089823,313749639
Other,2005,12,2005-12,13587517,4712665
Asia,2006,01,2006-01,326796615,21886393
Europe,2006,01,2006-01,207349016,211402378
"Latin America",2006,01,2006-01,51562515,35522426
"North America",2006,01,2006-01,363594235,282379752
Other,2006,01,2006-01,14205053,5563535
Asia,2006,02,2006-02,340399488,20811010
Europe,2006,02,2006-02,197190334,228716476
"Latin America",2006,02,2006-02,58436782,38310910
"North America",2006,02,2006-02,331397162,300907596
Other,2006,02,2006-02,13008171,6006100
Asia,2006,03,2006-03,292396912,19947063
Europe,2006,03,2006-03,257176182,212775784
"Latin America",2006,03,2006-03,97411493,40578752
"North America",2006,03,2006-03,389617651,315122936
Other,2006,03,2006-03,16364369,5243496
Asia,2006,04,2006-04,278848814,22612742
Europe,2006,04,2006-04,215226176,231735549
"Latin America",2006,04,2006-04,66627486,45504583
"North America",2006,04,2006-04,342355033,330029336
Other,2006,04,2006-04,9269507,5862242
Asia,2006,05,2006-05,327778403,22140626
Europe,2006,05,2006-05,288600176,244183344
"Latin America",2006,05,2006-05,77259557,58481500
"North America",2006,05,2006-05,435626584,354759574
Other,2006,05,2006-05,15299656,5395826
Asia,2006,06,2006-06,310281196,19353183
Europe,2006,06,2006-06,257701552,221186501
"Latin America",2006,06,2006-06,72213124,53181174
"North America",2006,06,2006-06,433478170,371183642
Other,2006,06,2006-06,20226429,6130247
Asia,2006,07,2006-07,298691601,20183007
Europe,2006,07,2006-07,186302731,224009165
"Latin America",2006,07,2006-07,74406278,62060102
"North America",2006,07,2006-07,346953643,373931817
Other,2006,07,2006-07,15800977,4059799
Asia,2006,08,2006-08,286940621,21938867
Europe,2006,08,2006-08,197154035,238551618
"Latin America",2006,08,2006-08,102290712,54620545
"North America",2006,08,2006-08,392152961,386772288
Other,2006,08,2006-08,17229137,12306007
Asia,2006,09,2006-09,270510418,22146555
Europe,2006,09,2006-09,236344240,217956052
"Latin America",2006,09,2006-09,67893647,57421214
"North America",2006,09,2006-09,382064868,383464548
Other,2006,09,2006-09,18652818,11615510
Asia,2006,10,2006-10,244934964,23171126
Europe,2006,10,2006-10,213828821,228444570
"Latin America",2006,10,2006-10,71146259,62186763
"North America",2006,10,2006-10,411473021,400315168
Other,2006,10,2006-10,13745501,12816028
Asia,2006,11,2006-11,260633336,26928355
Europe,2006,11,2006-11,226387425,243805148
"Latin America",2006,11,2006-11,67401901,65574089
"North America",2006,11,2006-11,420513368,407800527
Other,2006,11,2006-11,18030476,15397845
Asia,2006,12,2006-12,279780760,23015965
Europe,2006,12,2006-12,191060437,190903089
"Latin America",2006,12,2006-12,57317079,60595523
"North America",2006,12,2006-12,367529987,383316245
Other,2006,12,2006-12,23111839,16699560
Asia,2007,01,2007-01,336890608,26756795
Europe,2007,01,2007-01,248218965,224337413
"Latin America",2007,01,2007-01,80292658,59992632
"North America",2007,01,2007-01,422950633,309803766
Other,2007,01,2007-01,19019989,18830812
Asia,2007,02,2007-02,290648343,28427530
Europe,2007,02,2007-02,254606980,243857882
"Latin America",2007,02,2007-02,64473901,62466054
"North America",2007,02,2007-02,425207371,342935853
Other,2007,02,2007-02,22542576,20623892
Asia,2007,03,2007-03,366335940,25763815
Europe,2007,03,2007-03,349699856,229820483
"Latin America",2007,03,2007-03,84136715,64638734
"North America",2007,03,2007-03,528010876,348600791
Other,2007,03,2007-03,44677474,24766227
Asia,2007,04,2007-04,313722299,26741699
Europe,2007,04,2007-04,263606641,246501107
"Latin America",2007,04,2007-04,80085599,65364291
"North America",2007,04,2007-04,399718630,361710437
Other,2007,04,2007-04,20921117,28404827
Asia,2007,05,2007-05,336345389,29965730
Europe,2007,05,2007-05,288835298,258555816
"Latin America",2007,05,2007-05,101082192,69150654
"North America",2007,05,2007-05,497456931,389542553
Other,2007,05,2007-05,25316373,31960883
Asia,2007,06,2007-06,429087074,27144325
Europe,2007,06,2007-06,346505331,234895562
"Latin America",2007,06,2007-06,108917908,58295334
"North America",2007,06,2007-06,535433376,391158351
Other,2007,06,2007-06,62828973,32912897
Asia,2007,07,2007-07,430043580,31563233
Europe,2007,07,2007-07,293652804,251717442
"Latin America",2007,07,2007-07,93160192,62280660
"North America",2007,07,2007-07,541556931,415745689
Other,2007,07,2007-07,28303194,36192442
Asia,2007,08,2007-08,426712457,32830760
Europe,2007,08,2007-08,355640868,268170042
"Latin America",2007,08,2007-08,113323611,71317907
"North America",2007,08,2007-08,680828112,428068470
Other,2007,08,2007-08,33594123,42382063
Asia,2007,09,2007-09,315532258,26517797
Europe,2007,09,2007-09,315821960,244912776
"Latin America",2007,09,2007-09,83761989,76910959
"North America",2007,09,2007-09,463423775,380157757
Other,2007,09,2007-09,75937132,38934577
Asia,2007,10,2007-10,364133900,30854852
Europe,2007,10,2007-10,293358541,260655189
"Latin America",2007,10,2007-10,119394260,71482204
"North America",2007,10,2007-10,558968768,405857518
Other,2007,10,2007-10,26092870,38934970
Asia,2007,11,2007-11,375498810,31629690
Europe,2007,11,2007-11,325930258,279462200
"Latin America",2007,11,2007-11,66460580,76211160
"North America",2007,11,2007-11,627851049,419390878
Other,2007,11,2007-11,30908880,42106685
Asia,2007,12,2007-12,304642479,26319745
Europe,2007,12,2007-12,249735057,213209428
"Latin America",2007,12,2007-12,51409188,78913308
"North America",2007,12,2007-12,455801928,378578868
Other,2007,12,2007-12,75383244,39545178
Asia,2008,01,2008-01,376527665,32950647
Europe,2008,01,2008-01,388961864,254851739
"Latin America",2008,01,2008-01,59212326,76779129
"North America",2008,01,2008-01,706560901,344008642
Other,2008,01,2008-01,38891202,41020661
Asia,2008,02,2008-02,279460371,32197512
Europe,2008,02,2008-02,344253523,271243144
"Latin America",2008,02,2008-02,65047678,77780931
"North America",2008,02,2008-02,557545109,360273970
Other,2008,02,2008-02,29681913,44279708
Asia,2008,03,2008-03,374792599,25759887
Europe,2008,03,2008-03,350545158,249296553
"Latin America",2008,03,2008-03,75765449,77701238
"North America",2008,03,2008-03,603958412,344426065
Other,2008,03,2008-03,82214843,44786952
Asia,2008,04,2008-04,346114703,27251183
Europe,2008,04,2008-04,367177438,281456606
"Latin America",2008,04,2008-04,79591690,78398870
"North America",2008,04,2008-04,554842866,361061952
Other,2008,04,2008-04,31834737,48424575
Asia,2008,05,2008-05,333021613,28232224
Europe,2008,05,2008-05,370291351,294098521
"Latin America",2008,05,2008-05,74124430,78854864
"North America",2008,05,2008-05,538657645,380390553
Other,2008,05,2008-05,33816222,51009183
Asia,2008,06,2008-06,395244244,25711008
Europe,2008,06,2008-06,375722886,245818375
"Latin America",2008,06,2008-06,75797675,76909468
"North America",2008,06,2008-06,612070388,373527649
Other,2008,06,2008-06,77360378,51198691
Asia,2008,07,2008-07,507868574,29221944
Europe,2008,07,2008-07,345551215,275400418
"Latin America",2008,07,2008-07,75418344,73738724
"North America",2008,07,2008-07,661543798,410146195
Other,2008,07,2008-07,34393567,53113399
Asia,2008,08,2008-08,432359619,27428956
Europe,2008,08,2008-08,265106018,286839698
"Latin America",2008,08,2008-08,69922110,73979114
"North America",2008,08,2008-08,502676132,403748870
Other,2008,08,2008-08,26744548,55440157
Asia,2008,09,2008-09,526427753,26412378
Europe,2008,09,2008-09,430914581,268850849
"Latin America",2008,09,2008-09,87579344,74763822
"North America",2008,09,2008-09,717038007,388920168
Other,2008,09,2008-09,147232884,51081220
Asia,2008,10,2008-10,498825333,26884504
Europe,2008,10,2008-10,409378617,294573510
"Latin America",2008,10,2008-10,75473500,71483671
"North America",2008,10,2008-10,677992181,396430043
Other,2008,10,2008-10,36325341,50734263
Asia,2008,11,2008-11,452844167,28000176
Europe,2008,11,2008-11,275626381,283911609
"Latin America",2008,11,2008-11,52942178,70953101
"North America",2008,11,2008-11,451182641,375208263
Other,2008,11,2008-11,29041998,48582905
Asia,2008,12,2008-12,477569719,21297360
Europe,2008,12,2008-12,238746861,206858061
"Latin America",2008,12,2008-12,58722521,70276244
"North America",2008,12,2008-12,411363500,330250901
Other,2008,12,2008-12,100265368,21210874
Asia,2009,01,2009-01,354917979,25802523
Europe,2009,01,2009-01,291395690,236733737
"Latin America",2009,01,2009-01,71081792,65615577
"North America",2009,01,2009-01,455749641,273717558
Other,2009,01,2009-01,22092659,21289268
Asia,2009,02,2009-02,422872979,27955068
Europe,2009,02,2009-02,275147632,262347470
"Latin America",2009,02,2009-02,68425022,66023669
"North America",2009,02,2009-02,471111617,293517565
Other,2009,02,2009-02,22505810,20083176
Asia,2009,03,2009-03,496026769,24864651
Europe,2009,03,2009-03,353533894,244518365
"Latin America",2009,03,2009-03,90917573,67993984
"North America",2009,03,2009-03,597255006,305003020
Other,2009,03,2009-03,40576001,13484367
Asia,2009,04,2009-04,513167550,28278768
Europe,2009,04,2009-04,327308229,282205614
"Latin America",2009,04,2009-04,74118212,66865397
"North America",2009,04,2009-04,528126115,332146982
Other,2009,04,2009-04,22062995,14728275
Asia,2009,05,2009-05,449478300,27289577
Europe,2009,05,2009-05,346044367,284246631
"Latin America",2009,05,2009-05,78566614,67993932
"North America",2009,05,2009-05,539010600,351912343
Other,2009,05,2009-05,25730294,16545649
Asia,2009,06,2009-06,531531105,24684134
Europe,2009,06,2009-06,353739374,240782680
"Latin America",2009,06,2009-06,89646483,68001173
"North America",2009,06,2009-06,579607865,342043162
Other,2009,06,2009-06,35891810,16107373
Asia,2009,07,2009-07,504016567,27709958
Europe,2009,07,2009-07,307846717,261576164
"Latin America",2009,07,2009-07,80472011,65588262
"North America",2009,07,2009-07,529692197,357549536
Other,2009,07,2009-07,20223166,17212923
Asia,2009,08,2009-08,556332466,30540922
Europe,2009,08,2009-08,272679414,266950946
"Latin America",2009,08,2009-08,78218947,67000110
"North America",2009,08,2009-08,513644787,363764685
Other,2009,08,2009-08,26801551,18872366
Asia,2009,09,2009-09,570790426,28014577
Europe,2009,09,2009-09,349618374,252710062
"Latin America",2009,09,2009-09,89506185,68211349
"North America",2009,09,2009-09,552254066,368067019
Other,2009,09,2009-09,34548538,17055871
Asia,2009,10,2009-10,559385286,31871492
Europe,2009,10,2009-10,335239278,275490652
"Latin America",2009,10,2009-10,108194346,67278807
"North America",2009,10,2009-10,582595917,397064878
Other,2009,10,2009-10,25556456,23119537
Asia,2009,11,2009-11,618336383,33276256
Europe,2009,11,2009-11,319329329,291372983
"Latin America",2009,11,2009-11,93943830,65735014
"North America",2009,11,2009-11,494256579,392112978
Other,2009,11,2009-11,25015317,24837463
Asia,2009,12,2009-12,630554804,29237224
Europe,2009,12,2009-12,298331563,199051291
"Latin America",2009,12,2009-12,92419622,66437022
"North America",2009,12,2009-12,510156282,368458833
Other,2009,12,2009-12,31706855,20408933
Asia,2010,01,2010-01,663822791,32474738
Europe,2010,01,2010-01,315242534,251891387
"Latin America",2010,01,2010-01,100677317,64116155
"North America",2010,01,2010-01,537806036,327059817
Other,2010,01,2010-01,24935637,18894980
Asia,2010,02,2010-02,591241039,32173333
Europe,2010,02,2010-02,338425131,267793386
"Latin America",2010,02,2010-02,100719693,68788058
"North America",2010,02,2010-02,515352747,338734239
Other,2010,02,2010-02,19776228,18847379
Asia,2010,03,2010-03,674696432,31186030
Europe,2010,03,2010-03,372126709,249322529
"Latin America",2010,03,2010-03,167169530,76736292
"North America",2010,03,2010-03,621439075,353203494
Other,2010,03,2010-03,34913538,14603437
Asia,2010,04,2010-04,686538485,34456561
Europe,2010,04,2010-04,431263986,300903666
"Latin America",2010,04,2010-04,138809178,79088970
"North America",2010,04,2010-04,639818560,391107263
Other,2010,04,2010-04,21771237,15574668
Asia,2010,05,2010-05,853581443,36430470
Europe,2010,05,2010-05,563183400,298968989
"Latin America",2010,05,2010-05,147219063,81747464
"North America",2010,05,2010-05,757949340,402489845
Other,2010,05,2010-05,26889214,16132547
Asia,2010,06,2010-06,749647922,34818124
Europe,2010,06,2010-06,405481342,247304314
"Latin America",2010,06,2010-06,118364184,81086600
