Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Country,Region,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change
3.5% Fuel Oil Barges FOB Rotterdam (Platts) Crack Spread Balance of the Month (FCB),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,224,-54.84%,250.00%,224,-54.84%,250.00%
3.5% Fuel Oil Cargoes FOB MED (Platts) vs. 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (FK),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,233,-65.74%,-60.64%,"1,169",-12.11%,27.34%
3.5% Fuel Oil CIF MED (Platts) (7D),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,10,100.00%,-97.44%,351,-13.12%,-62.42%
3.5% Fuel Oil CIF MED (Platts) Balance of the Month (8D),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,5,,-88.89%,5,,-88.89%
3.5% Fuel Oil Rotterdam vs. 3.5% FOB MED Spread Balance of the Month (63),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,240,585.71%,54.84%,240,585.71%,60.00%
4 Year Russian Federation Government Bond,Future,Interest Rates,Moscow Exchange,Russia,Europe,Moscow Exchange,"15,682",8.05%,47.07%,"41,646",56.09%,-19.21%
4 Year Standards,Future,Interest Rates,Eris Exchange,United States,North America,Eris Exchange,70,-77.27%,,404,2.54%,
5 Year Canadian Government Bond (CGF),Future,Interest Rates,Montreal Exchange,Canada,North America,TMX Group,"37,025",21.39%,197.53%,"4,950",-1.39%,6.04%
5 Year China Ministry of Finance Treasury Bond,Future,Interest Rates,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,688,-31.61%,,669,-4.97%,
5 Year Colombian Government Bond,Future,Interest Rates,Bolsa de Valores de Colombia,Colombia,Latin America,Bolsa de Valores de Colombia,"10,024",57.98%,134.21%,"4,449",90.70%,113.07%
Bloomberg Roll Select Commodity Index,Future,Other,Chicago Board of Trade,United States,North America,CME Group,0,,,"1,070",0.00%,115.73%
5 Year Spintab Bond (SWH5Y),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,896,-79.89%,-92.25%,"11,272",8.64%,4.07%
5 Year Stadshypotek Bond (STH5Y),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,"26,602",148.87%,-38.39%,"24,266",26.87%,-36.20%
5 Year Standards,Future,Interest Rates,Eris Exchange,United States,North America,Eris Exchange,"13,241",-20.56%,-51.05%,"70,750",6.84%,38.45%
5 Year Swedish Government Bond (SGB5Y),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,"62,822",153.95%,-40.44%,"66,530",6.78%,-3.23%
Brent 1st Line Financial (IBQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,,,96,0.00%,
5 Year Treasury Bond,Future,Interest Rates,China Financial Futures Exchange,China,Asia,China Financial Futures Exchange,"274,703",14.80%,12.17%,"48,287",-16.36%,90.23%
5 Year Treasury Note,Future,Interest Rates,Chicago Board of Trade,United States,North America,CME Group,"24,543,109",91.98%,4.69%,"3,236,138",9.36%,13.25%
5 Year Treasury Note,Option,Interest Rates,Chicago Board of Trade,United States,North America,CME Group,"2,501,538",30.24%,29.87%,"1,036,990",-3.25%,19.54%
5 Year USD Deliverable Interest Rate Swap,Future,Interest Rates,Chicago Board of Trade,United States,North America,CME Group,"23,500",7.72%,-44.98%,"20,615",-8.95%,-44.42%
"5,000 oz Silver",Future,Metals,ICE Futures U.S.,United States,North America,Intercontinental Exchange,56,133.33%,194.74%,8,-63.64%,100.00%
6 Year Russian Federation Government Bond,Future,Interest Rates,Moscow Exchange,Russia,Europe,Moscow Exchange,"25,552",-5.14%,148.49%,"40,232",61.93%,301.20%
7 Year Standards,Future,Interest Rates,Eris Exchange,United States,North America,Eris Exchange,"1,111",68.08%,192.37%,"8,348",-0.32%,45.36%
10 Baht Gold,Future,Metals,Thailand Futures Exchange,Thailand,Asia,Thailand Futures Exchange,"536,170",121.53%,108.32%,"37,178",-24.34%,68.41%
Brent Crude Oil (BB),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,"6,327",-9.96%,-9.02%
10 Year Canadian Government Bond (CGB),Future,Interest Rates,Montreal Exchange,Canada,North America,TMX Group,"2,763,653",97.29%,20.78%,"500,997",0.05%,25.77%
10 Year Canadian Government Bond (OGB),Option,Interest Rates,Montreal Exchange,Canada,North America,TMX Group,"4,043",,1010.71%,"2,591",17.83%,611.81%
10 Year Colombian Government Bond,Future,Interest Rates,Bolsa de Valores de Colombia,Colombia,Latin America,Bolsa de Valores de Colombia,"14,492",17.89%,43.53%,"3,483",24.84%,-0.74%
10 Year Japan Government Bond,Future,Interest Rates,Japan Exchange,Japan,Asia,Japan Exchange,"597,918",9.97%,15.22%,"102,820",5.48%,25.01%
10 Year Japan Government Bond,Option,Interest Rates,Japan Exchange,Japan,Asia,Japan Exchange,"73,995",15.70%,-27.08%,"13,667",23.67%,-1.73%
Brent Financial Average Price (BA),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,"9,087",-13.13%,-71.26%
10 year Russian Federation Government Bond,Future,Interest Rates,Moscow Exchange,Russia,Europe,Moscow Exchange,"53,852",-26.19%,407.70%,"50,606",84.71%,28.34%
10 Year Standards,Future,Interest Rates,Eris Exchange,United States,North America,Eris Exchange,"16,070",153.43%,-46.91%,"71,624",12.86%,57.88%
10 Year Swedish Government Bond (SGB10),Future,Interest Rates,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,"76,478",435.64%,-28.07%,"52,521",8.94%,9.52%
Brent vs. Dubai (Platts) Crude Oil,Future,Energy,Dubai Mercantile Exchange,United Arab Emirates,Asia,Dubai Mercantile Exchange,0,-100.00%,,"4,260",-17.60%,
10 Year Treasury Bond,Future,Interest Rates,ASX 24,Australia,Asia,ASX,"2,435,694",-20.23%,13.64%,"1,057,054",7.53%,26.73%
10 Year Treasury Bond,Future,Interest Rates,Korea Exchange,South Korea,Asia,Korea Exchange,"947,087",-4.29%,-20.94%,"99,101",-0.96%,28.96%
British Pound Sterling/Swedish Krona,Future,Currencies,ICE Futures U.S.,United States,North America,Intercontinental Exchange,0,,,10,0.00%,-81.13%
10 Year Treasury Bond ,Future,Interest Rates,China Financial Futures Exchange,China,Asia,China Financial Futures Exchange,"855,885",-4.20%,65.39%,"62,753",-2.15%,47.59%
CAISO SP15 EZ Gen Hub 5 MW Peak Calendar-Day Day-Ahead LMP (9Z),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,"1,750",-7.89%,
10 Year Treasury Note,Future,Interest Rates,Chicago Board of Trade,United States,North America,CME Group,"39,078,341",59.66%,12.62%,"3,435,810",7.29%,20.86%
10 Year Treasury Note,Option,Interest Rates,Chicago Board of Trade,United States,North America,CME Group,"12,492,079",20.70%,72.68%,"3,148,962",14.64%,86.32%
10 Year USD Deliverable Interest Rate Swap,Future,Interest Rates,Chicago Board of Trade,United States,North America,CME Group,"27,562",12.64%,-17.33%,"32,990",5.73%,16.65%
15 Year Russian Federation Government Bond,Future,Interest Rates,Moscow Exchange,Russia,Europe,Moscow Exchange,"57,689",1.88%,106.42%,"47,820",11.96%,20.14%
20 Year Treasury Bond,Future,Interest Rates,ASX 24,Australia,Asia,ASX,"21,688",-21.62%,30.23%,"26,002",2.78%,6.57%
30 Day Interbank Cash Rate,Future,Interest Rates,ASX 24,Australia,Asia,ASX,"114,409",-42.08%,-53.09%,"171,691",-7.33%,9.34%
30 Year Standards,Future,Interest Rates,Eris Exchange,United States,North America,Eris Exchange,326,113.07%,-60.20%,"1,119",2.10%,71.36%
30 Year Treasury Bond,Future,Interest Rates,Chicago Board of Trade,United States,North America,CME Group,"7,620,647",63.10%,14.51%,"766,649",4.72%,33.84%
30 Year Treasury Bond,Option,Interest Rates,Chicago Board of Trade,United States,North America,CME Group,"2,637,961",-0.84%,80.16%,"589,897",-12.45%,69.39%
30 Year USD Deliverable Interest Rate Swap,Future,Interest Rates,Chicago Board of Trade,United States,North America,CME Group,135,9.76%,-85.56%,215,-0.46%,-79.89%
50 Baht Gold,Future,Metals,Thailand Futures Exchange,Thailand,Asia,Thailand Futures Exchange,"33,511",133.41%,274.13%,"2,276",-35.36%,65.29%
90 Day Bank Bill,Future,Interest Rates,ASX 24,Australia,Asia,ASX,"2,133,802",-32.81%,24.92%,"993,421",1.29%,8.16%
CAISO SP-15 Hub Day-Ahead Off-Peak Financial (25 MWH) (OFPQ),Future,Energy,Nasdaq NFX,United States,North America,Nasdaq,0,,,943,0.00%,
91 Day Government of India (GOI) Treasury Bill,Future,Interest Rates,BSE,India,Asia,BSE,"838,492",-21.43%,107.30%,3,-99.95%,-99.90%
100 oz Gold,Future,Metals,ICE Futures U.S.,United States,North America,Intercontinental Exchange,4,-87.50%,-85.71%,0,,-100.00%
AEX Daily,Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,"269,326",36.51%,163.16%,0,-100.00%,-100.00%
AEX Mini,Future,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,"1,242",13.01%,-82.88%,59,90.32%,-34.44%
AEX Mini,Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,"2,342",45.74%,386.90%,"1,168",142.32%,262.73%
AEX Stock Index,Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,"741,257",10.42%,145.92%,"276,924",9.70%,41.18%
AEX Stock Index (FTI),Future,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,"736,968",2.44%,11.10%,"57,544",4.32%,1.01%
AEX Weekly,Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,"214,208",9.54%,222.74%,"21,513",61.48%,167.51%
Canadian C5+ Condensate Index (Net Energy) (CC5),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,,,180,-33.33%,
Canadian Heavy Crude Oil Index (Net Energy) (WCC),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,"4,170",-18.32%,-67.08%
All Futures on Individual Equities,Future,Equity,ASX,Australia,Asia,ASX,"81,619",14.54%,-37.88%,"526,993",2.78%,-53.37%
All Futures on Individual Equities,Future,Equity,Athens Derivatives Exchange,Greece,Other,Athens Derivatives Exchange,"710,814",-44.81%,39.93%,"523,994",4.33%,110.81%
All Futures on Individual Equities,Future,Equity,Bolsa de Valores de Colombia,Colombia,Latin America,Bolsa de Valores de Colombia,"40,599",1219.86%,188.67%,"27,652",11.00%,-36.32%
All Futures on Individual Equities,Future,Equity,Borsa Istanbul,Turkey,Other,Borsa Istanbul,"1,673,054",-13.53%,192.51%,"677,194",21.84%,48.74%
All Futures on Individual Equities,Future,Equity,Borsa Italiana (IDEM),Italy,Europe,London Stock Exchange Group,"40,453",-69.49%,-53.34%,"269,242",-9.88%,-19.72%
All Futures on Individual Equities,Future,Equity,BSE,India,Asia,BSE,28,-52.54%,-94.88%,1,-85.71%,-96.97%
All Futures on Individual Equities,Future,Equity,Budapest Stock Exchange,Hungary,Europe,CEE Stock Exchange Group,"44,618",34.91%,119.39%,"25,268",13.92%,33.29%
All Futures on Individual Equities,Future,Equity,Eurex,Germany,Europe,Eurex,"1,551,213",-39.41%,-51.84%,"5,801,626",1.27%,54.59%
All Futures on Individual Equities,Future,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,"21,263",-35.03%,-23.51%,40,-99.51%,-99.92%
All Futures on Individual Equities,Future,Equity,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,"10,941",16.37%,-24.98%,"6,303",-11.49%,39.51%
All Futures on Individual Equities,Future,Equity,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"6,812,374",51.12%,906.09%,"2,582,104",-48.22%,164.06%
All Futures on Individual Equities,Future,Equity,India International Exchange,India,Asia,BSE,"1,699",-54.72%,,46,253.85%,
All Futures on Individual Equities,Future,Equity,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"393,492",18.87%,-62.52%,"1,306,483",4.97%,39.98%
All Futures on Individual Equities,Future,Equity,Korea Exchange,South Korea,Asia,Korea Exchange,"27,173,822",6.63%,103.75%,"2,384,041",4.01%,104.01%
All Futures on Individual Equities,Future,Equity,MEFF,Spain,Europe,MEFF,"66,023",-91.24%,11.36%,"1,016,877",5.30%,22.64%
CDD Seasonal Strip Weather,Option,Other,Chicago Mercantile Exchange,United States,North America,CME Group,0,,,"2,800",0.00%,-90.18%
All Futures on Individual Equities,Future,Equity,Moscow Exchange,Russia,Europe,Moscow Exchange,"15,774,876",-5.42%,-16.34%,"2,689,784",-2.89%,-28.40%
All Futures on Individual Equities,Future,Equity,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,"308,171",84.00%,266.92%,"419,602",-8.47%,-31.73%
All Futures on Individual Equities,Future,Equity,National Stock Exchange of India,India,Asia,National Stock Exchange of India,"17,470,818",2.92%,12.68%,"1,597,179",16.62%,29.92%
All Futures on Individual Equities,Future,Equity,Taiwan Futures Exchange,Taiwan,Asia,Taiwan Futures Exchange,"1,905,066",38.88%,117.66%,"186,029",12.59%,83.54%
All Futures on Individual Equities,Future,Equity,Thailand Futures Exchange,Thailand,Asia,Thailand Futures Exchange,"2,981,904",31.93%,-31.69%,"1,599,832",4.00%,-13.48%
All Futures on Individual Equities,Future,Equity,Warsaw Stock Exchange,Poland,Europe,Warsaw Stock Exchange,"117,963",28.41%,-7.87%,"29,328",-8.61%,-3.70%
All Options on Austrian Equities,Option,Equity,Eurex,Germany,Europe,Eurex,"54,826",143.76%,-4.72%,"202,212",19.83%,96.42%
All Options on Belgian Equities,Option,Equity,Eurex,Germany,Europe,Eurex,"55,982",-8.16%,42.48%,"165,987",6.24%,13.40%
All Options on Dutch Equities,Option,Equity,Eurex,Germany,Europe,Eurex,"789,022",24.22%,-3.68%,"3,772,894",4.75%,13.45%
All Options on Exchange Traded Funds,Option,Equity,Bats Exchange,United States,North America,BATS Exchange,"15,734,563",34.40%,38.24%,,,
All Options on Exchange Traded Funds,Option,Equity,Boston Options Exchange,United States,North America,TMX Group,"2,607,671",54.74%,-4.21%,,,
All Options on Exchange Traded Funds,Option,Equity,C2 Exchange,United States,North America,CBOE Holdings,"8,991,150",33.82%,87.26%,,,
All Options on Exchange Traded Funds,Option,Equity,Chicago Board Options Exchange,United States,North America,CBOE Holdings,"27,996,086",45.79%,42.63%,,,
All Options on Exchange Traded Funds,Option,Equity,EDGX Options Exchange,United States,North America,BATS Exchange,"1,931,125",20.43%,22.56%,,,
All Options on Exchange Traded Funds,Option,Equity,International Securities Exchange,United States,North America,Eurex,"13,811,313",29.97%,-11.16%,,,
All Options on Exchange Traded Funds,Option,Equity,International Securities Exchange Gemini,United States,North America,Eurex,"7,708,872",47.97%,201.69%,,,
All Options on Exchange Traded Funds,Option,Equity,International Securities Exchange Mercury,United States,North America,Eurex,"131,296",39.27%,-21.85%,,,
All Options on Exchange Traded Funds,Option,Equity,MIAX Options,United States,North America,Miami International Holdings,"7,239,636",33.87%,-26.19%,,,
All Options on Exchange Traded Funds,Option,Equity,MIAX Pearl,United States,North America,Miami International Holdings,"4,574,234",90.40%,,,,
All Options on Exchange Traded Funds,Option,Equity,Nasdaq Boston,United States,North America,Nasdaq,"792,487",31.47%,3.51%,,,
All Options on Exchange Traded Funds,Option,Equity,Nasdaq Options Market,United States,North America,Nasdaq,"11,311,891",26.58%,42.83%,,,
All Options on Exchange Traded Funds,Option,Equity,Nasdaq PHLX,United States,North America,Nasdaq,"23,800,108",24.94%,12.55%,,,
All Options on Exchange Traded Funds,Option,Equity,NYSE Amex,United States,North America,Intercontinental Exchange,"14,923,403",31.99%,32.76%,,,
All Options on Exchange Traded Funds,Option,Equity,NYSE Arca,United States,North America,Intercontinental Exchange,"12,084,916",33.67%,-0.77%,,,
CDD Seasonal Strips Weather,Future,Other,Chicago Mercantile Exchange,United States,North America,CME Group,0,,,"1,100",0.00%,-22.81%
All Options on Finnish Equities,Option,Equity,Eurex,Germany,Europe,Eurex,"321,632",-1.17%,-39.30%,"2,358,155",4.45%,18.68%
All Options on French Equities,Option,Equity,Eurex,Germany,Europe,Eurex,"1,538,042",16.79%,9.39%,"8,057,163",8.74%,20.15%
All Options on German Equities,Option,Equity,Eurex,Germany,Europe,Eurex,"5,493,265",5.37%,-1.55%,"18,988,966",7.63%,-1.94%
All Options on Great Britain Equities,Option,Equity,Eurex,Germany,Europe,Eurex,"11,065",23.42%,-42.23%,"24,961",6.20%,-47.18%
All Options on Individual Equities,Option,Equity,ASX,Australia,Asia,ASX,"8,574,391",19.17%,15.59%,"9,098,787",8.58%,10.72%
All Options on Individual Equities,Option,Equity,Athens Derivatives Exchange,Greece,Other,Athens Derivatives Exchange,511,-74.88%,-28.03%,"1,560",-32.14%,176.11%
All Options on Individual Equities,Option,Equity,B3,Brazil,Latin America,B3,"58,872,932",33.17%,,"20,600,131",4.47%,
All Options on Individual Equities,Option,Equity,Bats Exchange,United States,North America,BATS Exchange,"18,739,888",4.29%,-5.67%,,,
CDD Weather,Future,Other,Chicago Mercantile Exchange,United States,North America,CME Group,0,-100.00%,-100.00%,"10,300",-35.63%,435.06%
All Options on Individual Equities,Option,Equity,Borsa Istanbul,Turkey,Other,Borsa Istanbul,"216,419",-4.85%,0.07%,"465,904",-13.59%,11.75%
All Options on Individual Equities,Option,Equity,Borsa Italiana (IDEM),Italy,Europe,London Stock Exchange Group,"1,040,223",-12.48%,-26.94%,"4,524,893",5.02%,-22.53%
All Options on Individual Equities,Option,Equity,Boston Options Exchange,United States,North America,TMX Group,"5,330,126",8.34%,-14.76%,,,
All Options on Individual Equities,Option,Equity,BSE,India,Asia,BSE,2,,,0,,
All Options on Individual Equities,Option,Equity,C2 Exchange,United States,North America,CBOE Holdings,"3,975,790",7.64%,104.36%,,,
All Options on Individual Equities,Option,Equity,Chicago Board Options Exchange,United States,North America,CBOE Holdings,"30,812,100",5.22%,2.60%,,,
All Options on Individual Equities,Option,Equity,EDGX Options Exchange,United States,North America,BATS Exchange,"2,384,494",12.58%,73.00%,,,
All Options on Individual Equities,Option,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,"5,246,079",23.59%,39.51%,"14,813,771",6.66%,3.57%
All Options on Individual Equities,Option,Equity,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,"975,929",3.33%,-16.02%,"4,940,614",0.59%,-2.18%
All Options on Individual Equities,Option,Equity,International Securities Exchange,United States,North America,Eurex,"14,262,124",3.81%,-21.21%,,,
All Options on Individual Equities,Option,Equity,International Securities Exchange Gemini,United States,North America,Eurex,"10,191,049",7.37%,296.35%,,,
All Options on Individual Equities,Option,Equity,International Securities Exchange Mercury,United States,North America,Eurex,"368,192",9.98%,-11.89%,,,
All Options on Individual Equities,Option,Equity,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,"1,081,236",226.69%,136.43%,"2,518,229",12.39%,47.04%
