Standardized_Contract,Contract_Type,Group_Name,Country,Region,Exchange_Name,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change,Volume_YTD,Volume_YTD_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change,Open_Interest_YTD,Open_Interest_YTD_Change
NZ Electricity Base Load Strip OTAHUHU,Option,Energy,Australia,Asia,ASX 24,ASX,0,,,100,,100,0.0%,,400,
Electricity Base Load Quarterly SA,Option,Energy,Australia,Asia,ASX 24,ASX,45,350.0%,,190,167.6%,145,31.8%,90.8%,775,20.3%
NZ Electricity Peak Load Quarterly (EG),Future,Energy,Australia,Asia,ASX 24,ASX,0,,,60,-45.5%,200,0.0%,900.0%,1710,216.7%
Eastern Australia Wheat,Option,Agriculture,Australia,Asia,ASX 24,ASX,0,,,275,,275,0.0%,,825,
Electricity Base Load $300 CAP Quarterly SA (GS),Future,Energy,Australia,Asia,ASX 24,ASX,51,200.0%,8.5%,492,-21.8%,282,18.0%,49.2%,2492,18.7%
Electricity Peak Load Quarterly NSW,Future,Energy,Australia,Asia,ASX 24,ASX,35,288.9%,-85.8%,1529,-14.1%,540,6.3%,-35.9%,6011,-18.7%
Electricity Peak Load Quarterly QLD,Future,Energy,Australia,Asia,ASX 24,ASX,132,25.7%,85.9%,803,-22.2%,596,10.0%,57.3%,4225,24.6%
NZ Electricity Peak Load Quarterly (EC),Future,Energy,Australia,Asia,ASX 24,ASX,50,,150.0%,930,-41.9%,680,7.9%,7.9%,4800,-28.0%
Electricity Peak Load Quarterly VIC,Future,Energy,Australia,Asia,ASX 24,ASX,58,38.1%,-76.9%,1488,-25.0%,722,-1.1%,-12.5%,6986,19.9%
Electricity Base Load Quarterly NSW,Option,Energy,Australia,Asia,ASX 24,ASX,40,-82.6%,-82.2%,1099,-44.0%,845,5.0%,-42.1%,6300,-51.1%
Eastern Australia Feed Barley,Future,Agriculture,Australia,Asia,ASX 24,ASX,"1,029",,,1804,-66.8%,993,873.5%,156.6%,2955,-70.6%
Electricity Base Load Quarterly SA,Future,Energy,Australia,Asia,ASX 24,ASX,59,84.4%,-82.8%,1670,-31.2%,"1,099",1.5%,-23.5%,10837,-0.3%
Electricity Base Load Quarterly QLD,Option,Energy,Australia,Asia,ASX 24,ASX,15,-42.3%,-96.1%,1659,-43.6%,"1,519",1.0%,-17.9%,14844,8.8%
Electricity Base Load Quarterly VIC,Option,Energy,Australia,Asia,ASX 24,ASX,215,-26.6%,-51.1%,2962,-12.3%,"1,537",11.2%,-37.1%,13616,-32.8%
Electricity Base Load Strip NSW,Option,Energy,Australia,Asia,ASX 24,ASX,266,107.8%,166.0%,2103,31.4%,"1,632",8.3%,36.6%,13389,34.8%
NZ Electricity Base Load Quarterly (EE),Option,Energy,Australia,Asia,ASX 24,ASX,400,-11.1%,,2950,1129.2%,"2,300",21.1%,1050.0%,11400,383.1%
Electricity Base Load $300 CAP Quarterly VIC (GV),Future,Energy,Australia,Asia,ASX 24,ASX,517,227.2%,-37.5%,5764,-12.9%,"2,351",3.0%,-11.6%,23133,2.3%
NZ Electricity Base Load Calendar Month (EH),Future,Energy,Australia,Asia,ASX 24,ASX,"3,350",-15.7%,26.4%,35750,64.8%,"2,459",-26.0%,34.0%,26004,79.1%
NZ Electricity Base Load Quarterly (EA),Option,Energy,Australia,Asia,ASX 24,ASX,500,25.0%,,2850,359.7%,"2,700",22.7%,350.0%,13050,313.0%
Electricity Base Load Strip QLD,Option,Energy,Australia,Asia,ASX 24,ASX,425,68.0%,35.4%,4009,32.4%,"2,836",1.4%,38.9%,25187,52.9%
Electricity Base Load Strip VIC,Option,Energy,Australia,Asia,ASX 24,ASX,690,945.5%,84.0%,3067,47.6%,"3,122",12.0%,9.9%,25431,0.3%
NZ Electricity Base Load Calendar Month (ED),Future,Energy,Australia,Asia,ASX 24,ASX,"3,991",-16.8%,61.0%,38170,112.7%,"3,141",1.0%,33.6%,29589,109.7%
Electricity Base Load $300 CAP Quarterly NSW (GN),Future,Energy,Australia,Asia,ASX 24,ASX,238,-41.2%,-59.7%,6071,-9.4%,"3,148",2.7%,1.9%,25848,-0.7%
3 Year Treasury Bond,Option,Interest Rates,Australia,Asia,ASX 24,ASX,"3,500",,-50.1%,62856,-78.8%,"3,500",16.7%,-41.9%,76092,-75.2%
Electricity Base Load $300 CAP Quarterly QLD (GQ),Future,Energy,Australia,Asia,ASX 24,ASX,816,64.5%,36.9%,8305,-3.0%,"3,567",7.8%,9.0%,28686,11.4%
S&P/ASX 200 A-REIT Index,Future,Equity,Australia,Asia,ASX 24,ASX,"16,928",123.1%,10.0%,75077,0.9%,"5,352",-22.4%,26.7%,60728,23.4%
Electricity Base Load Quarterly NSW,Future,Energy,Australia,Asia,ASX 24,ASX,"1,819",-41.0%,-26.4%,23379,-9.6%,"7,031",5.5%,-12.7%,66993,-13.0%
NZ Electricity Base Load Quarterly (EE),Future,Energy,Australia,Asia,ASX 24,ASX,"4,681",62.3%,154.4%,34686,34.9%,"8,735",7.9%,-0.9%,69184,-9.2%
NZ Electricity Base Load Quarterly (EA),Future,Energy,Australia,Asia,ASX 24,ASX,"5,142",56.3%,344.4%,30874,28.3%,"10,543",11.0%,30.3%,81579,16.2%
Electricity Base Load Quarterly QLD,Future,Energy,Australia,Asia,ASX 24,ASX,"2,202",41.9%,9.8%,33043,15.7%,"10,926",6.4%,-10.2%,95414,-4.9%
Electricity Base Load Quarterly VIC,Future,Energy,Australia,Asia,ASX 24,ASX,"3,286",67.0%,-8.9%,36028,5.5%,"12,014",9.5%,33.2%,101605,34.4%
Eastern Australia Wheat,Future,Agriculture,Australia,Asia,ASX 24,ASX,"10,160",102.9%,305.9%,54026,457.5%,"16,439",5.7%,218.2%,87185,350.6%
20 Year Treasury Bond,Future,Interest Rates,Australia,Asia,ASX 24,ASX,"54,926",153.3%,-54.6%,313049,-20.1%,"22,572",-13.2%,-2.6%,216774,4.1%
SPI 200,Option,Equity,Australia,Asia,ASX 24,ASX,"34,814",1422.3%,30.2%,124201,-44.9%,"82,447",-1.5%,-16.9%,825666,-8.7%
New Zealand 90 Day Bank Bill,Future,Interest Rates,Australia,Asia,ASX 24,ASX,"140,175",30.8%,17.0%,1116046,-20.2%,"127,848",-26.9%,10.3%,1372610,-4.1%
30 Day Interbank Cash Rate,Future,Interest Rates,Australia,Asia,ASX 24,ASX,"181,988",59.1%,-16.4%,1482353,-52.8%,"192,643",12.2%,21.0%,1610448,-10.7%
SPI 200,Future,Equity,Australia,Asia,ASX 24,ASX,"1,694,097",123.1%,4.7%,9438798,3.6%,"266,726",3.8%,-5.0%,2566638,5.0%
10 Year Treasury Bond,Future,Interest Rates,Australia,Asia,ASX 24,ASX,"5,588,896",129.5%,9.1%,32737033,10.5%,"1,009,213",-4.5%,22.8%,8921297,18.2%
90 Day Bank Bill,Future,Interest Rates,Australia,Asia,ASX 24,ASX,"3,037,304",42.3%,17.8%,23217369,4.8%,"1,044,579",5.1%,3.9%,9287116,10.1%
3 Year Treasury Bond,Future,Interest Rates,Australia,Asia,ASX 24,ASX,"6,631,892",103.8%,15.8%,42337807,11.9%,"1,113,344",-1.1%,37.3%,9044717,26.4%
All Options on Individual Equities,Option,Equity,Greece,Other,Athens Derivatives Exchange,Athens Derivatives Exchange,"3,445",574.2%,384.5%,19252,97.7%,"2,165",38.8%,225.1%,15243,117.1%
FTSE/Athex Large Cap,Future,Equity,Greece,Other,Athens Derivatives Exchange,Athens Derivatives Exchange,"48,218",29.1%,5.9%,504301,-30.9%,"4,546",-0.7%,-22.5%,64043,-40.7%
FTSE/Athex Large Cap,Option,Equity,Greece,Other,Athens Derivatives Exchange,Athens Derivatives Exchange,"7,794",107.5%,138.6%,55374,12.9%,"5,114",186.3%,156.9%,23291,-5.5%
All Futures on Individual Equities,Future,Equity,Greece,Other,Athens Derivatives Exchange,Athens Derivatives Exchange,"2,391,579",236.5%,109.7%,14224020,34.0%,"334,751",-36.1%,27.9%,4017977,91.6%
Arabica Coffee,Future,Agriculture,Brazil,Latin America,B3,B3,"10,727",-14.6%,10.7%,"77,653",-16.5%,"9,000",-7.9%,9.9%,"70,296",-13.0%
Arabica Coffee Rollover,Future,Agriculture,Brazil,Latin America,B3,B3,"3,808",79.5%,,"10,820",39.8%,0,,,0,0.0%
Australian Dollar,Future,Currencies,Brazil,Latin America,B3,B3,"5,508",40.9%,1.9%,"49,572",42.9%,"2,116",14.8%,-21.5%,"19,623",-18.5%
Bovespa Mini Index,Future,Equity,Brazil,Latin America,B3,B3,"29,562,547",14.0%,125.5%,"186,743,094",86.9%,"148,834",125.7%,74.8%,"745,537",-9.0%
Bovespa Rollover,Future,Equity,Brazil,Latin America,B3,B3,"38,310",-95.8%,482.2%,"3,140,550",-1.7%,0,,,0,0.0%
Bovespa Stock Index,Future,Equity,Brazil,Latin America,B3,B3,"1,743,575",-9.9%,16.6%,"13,911,095",-2.3%,"440,043",16.3%,32.2%,"2,937,882",-6.4%
Canadian Dollar,Future,Currencies,Brazil,Latin America,B3,B3,"5,278",121.4%,79.8%,"36,222",147.9%,"2,034",48.5%,80.6%,"13,738",92.3%
Chilean Peso,Future,Currencies,Brazil,Latin America,B3,B3,0,-100.0%,-100.0%,"8,478",-37.1%,425,0.0%,-58.9%,"6,073",-19.3%
Corn Cash Settled,Future,Agriculture,Brazil,Latin America,B3,B3,"79,045",-3.4%,53.4%,"614,834",2.9%,"17,926",-29.6%,-11.2%,"216,370",0.8%
Cross Listing Mini-Sized Soybean CME,Future,Agriculture,Brazil,Latin America,B3,B3,"3,907",-32.3%,-18.3%,"50,736",-24.2%,"2,512",-6.5%,34.3%,"26,176",16.3%
E-mini S&P 500,Future,Equity,Brazil,Latin America,B3,B3,"11,367",-25.2%,-26.9%,"110,766",-17.1%,"5,594",9.3%,60.8%,"35,497",-20.2%
E-mini S&P 500 Rollover,Future,Equity,Brazil,Latin America,B3,B3,"9,010",,63.1%,"19,476",-3.2%,0,,,0,0.0%
Euro,Future,Currencies,Brazil,Latin America,B3,B3,"21,960",-66.3%,-17.6%,"310,600",-3.3%,"28,989",-0.4%,77.4%,"180,270",4.0%
Forward Exchange Rate,Future,Currencies,Brazil,Latin America,B3,B3,"4,901",18750.0%,8975.9%,"102,777",397.0%,"21,006",9.8%,71.2%,"223,179",158.1%
Gold Spot (250g),Future,Metals,Brazil,Latin America,B3,B3,580,-54.5%,24.2%,"6,028",10.9%,0,,,0,0.0%
Hydrous Ethanol,Future,Other,Brazil,Latin America,B3,B3,"1,513",-17.7%,-50.2%,"13,969",-32.2%,"3,008",22.2%,-26.7%,"18,097",-38.0%
IBrX-50,Future,Equity,Brazil,Latin America,B3,B3,"2,185",821.9%,18.3%,"12,080",-29.1%,"1,266",-1.8%,14.4%,"10,209",-27.4%
ID x IPCA spread,Future,Interest Rates,Brazil,Latin America,B3,B3,"225,965",3.1%,909.5%,"1,453,875",597.2%,"380,377",13.2%,469.9%,"2,048,255",562.9%
ID x US Dollar FRA,Future,Interest Rates,Brazil,Latin America,B3,B3,"6,548,824",30.6%,41.7%,"46,273,396",4.2%,0,,,0,0.0%
ID x US Dollar Spread,Future,Interest Rates,Brazil,Latin America,B3,B3,"234,020",8.2%,1.4%,"1,392,635",-38.7%,"3,288,377",0.0%,-11.5%,"28,439,423",-16.0%
ID x US Dollar Swap with reset,Future,Interest Rates,Brazil,Latin America,B3,B3,0,,,"18,000",-88.6%,"555,365",0.0%,-39.0%,"4,632,975",-68.6%
Interbank Deposits SELIC,Future,Interest Rates,Brazil,Latin America,B3,B3,0,,-100.0%,"20,000",-94.7%,"20,000",0.0%,-97.7%,"159,400",-98.6%
Interest Rate Swap,Future,Interest Rates,Brazil,Latin America,B3,B3,"9,924",9.7%,-14.9%,"89,464",10.7%,"474,648",-3.6%,-33.2%,"4,897,133",-35.1%
Interest Rate x Exchange Rate,Future,Interest Rates,Brazil,Latin America,B3,B3,"1,377",-89.0%,-70.2%,"114,733",-65.1%,"1,457,532",-11.2%,-25.3%,"14,538,530",-32.5%
Interest Rate x Price Index Swap,Future,Interest Rates,Brazil,Latin America,B3,B3,0,-100.0%,-100.0%,"27,300",-95.1%,"1,029,491",-0.9%,-33.4%,"10,271,378",-33.9%
Interest Rate x Reference Rate Swap,Future,Interest Rates,Brazil,Latin America,B3,B3,0,,,"6,000",0.0%,"7,200",0.0%,125.0%,"40,800",41.7%
Live Cattle,Future,Agriculture,Brazil,Latin America,B3,B3,"62,150",-5.4%,13.0%,"385,160",9.3%,"11,173",4.9%,-40.0%,"69,482",-46.3%
Mexican Peso,Future,Currencies,Brazil,Latin America,B3,B3,"4,265",-8.2%,40.7%,"24,196",-18.3%,"1,917",23.7%,90.8%,"10,347",-20.9%
Mini Euro,Future,Currencies,Brazil,Latin America,B3,B3,19,-61.2%,,131,0.0%,22,266.7%,,72,0.0%
Mini US Dollar,Future,Currencies,Brazil,Latin America,B3,B3,"12,777,310",-17.8%,29.9%,"103,090,546",58.8%,"90,533",-14.2%,102.3%,"615,839",54.2%
New Zealand Dollar,Future,Currencies,Brazil,Latin America,B3,B3,"1,155",-13.9%,862.5%,"6,887",151.4%,716,15.9%,922.9%,"2,516",141.0%
Odd-lot gold spot (0.225g),Future,Metals,Brazil,Latin America,B3,B3,"6,070",33.6%,137.7%,"31,013",35.2%,0,,,0,0.0%
Odd-lot gold spot (10g.),Future,Metals,Brazil,Latin America,B3,B3,"1,910",-8.9%,47.5%,"14,266",5.9%,0,,,0,0.0%
One Day Inter-Bank Deposit,Future,Interest Rates,Brazil,Latin America,B3,B3,"33,133,114",4.5%,10.3%,"273,123,545",30.0%,"22,894,678",2.3%,15.7%,"183,584,246",21.0%
Pound Sterling,Future,Currencies,Brazil,Latin America,B3,B3,"3,060",-4.4%,72.8%,"23,461",0.0%,"1,185",120.7%,6.9%,"9,445",-34.0%
Price Index x Exchange Rate Swap,Future,Interest Rates,Brazil,Latin America,B3,B3,0,,,0,,"2,393",0.0%,0.0%,"21,537",0.0%
South African Rand,Future,Currencies,Brazil,Latin America,B3,B3,"2,502",-9.9%,1950.8%,"10,248",69.3%,723,-17.3%,792.6%,"4,296",106.9%
Swiss Franc,Future,Currencies,Brazil,Latin America,B3,B3,"1,057",-32.9%,-6.0%,"8,999",-15.5%,284,-55.1%,-65.7%,"3,937",-44.4%
Turkish Lira,Future,Currencies,Brazil,Latin America,B3,B3,"3,115",-41.1%,554.4%,"16,772",66.2%,"1,052",-26.6%,393.9%,"5,578",109.1%
US Dollar,Future,Currencies,Brazil,Latin America,B3,B3,"6,280,475",1.5%,-4.2%,"54,119,310",1.7%,"1,071,489",20.5%,-3.3%,"8,418,524",-19.0%
US Dollar forward points,Future,Currencies,Brazil,Latin America,B3,B3,"395,175",0.4%,-3.4%,"3,746,635",2.8%,0,,,0,0.0%
US Dollar Rollover,Future,Currencies,Brazil,Latin America,B3,B3,"1,326,370",14.1%,-11.9%,"10,987,074",-14.9%,0,,,0,0.0%
US Treasury Note,Future,Interest Rates,Brazil,Latin America,B3,B3,"3,574",-45.9%,308.0%,"32,296",286.5%,"1,881",-7.7%,313.4%,"19,554",557.3%
West Texas Intermediate (WTI),Future,Energy,Brazil,Latin America,B3,B3,"4,461",-50.9%,502.0%,"53,594",289.9%,450,516.4%,373.7%,"6,306",32.0%
Yen,Future,Currencies,Brazil,Latin America,B3,B3,"7,134",40.8%,417.7%,"49,778",122.0%,"3,700",16.1%,477.2%,"25,321",171.8%
Yuan (CNY),Future,Currencies,Brazil,Latin America,B3,B3,378,,,738,0.0%,170,,,790,2035.1%
All Options on Individual Equities,Option,Equity,Brazil,Latin America,B3,B3,"62,561,309",6.3%,8.1%,"510,164,685",-1.1%,"21,808,641",5.9%,1.2%,"186,707,369",1.5%
Arabica Coffee,Option,Agriculture,Brazil,Latin America,B3,B3,210,-21.1%,172.7%,"1,973",179.1%,529,56.0%,200.6%,"2,681",-17.4%
Corn Cash Settled,Option,Agriculture,Brazil,Latin America,B3,B3,"19,655",-54.9%,70.1%,"230,125",36.4%,"24,726",-53.2%,20.9%,"408,757",14.7%
Exchange Traded Funds Options,Option,Equity,Brazil,Latin America,B3,B3,"3,736,163",-22.4%,1474.9%,"26,850,307",905.0%,"448,912",0.1%,1201.5%,"1,541,073",-7.5%
Flexible BOVA11 Index,Option,Equity,Brazil,Latin America,B3,B3,"3,972",-86.3%,1847.1%,"66,438",32467.6%,"12,926",-40.8%,6236.3%,"108,665",7639.7%
Flexible Bovespa Stock Index,Option,Equity,Brazil,Latin America,B3,B3,"23,644",-64.5%,83.9%,"290,774",123.4%,"131,338",10.0%,70.9%,"964,073",38.6%
Flexible Spot Interest Rate Index,Option,Other,Brazil,Latin America,B3,B3,"116,280",-38.0%,24.7%,"1,544,855",377.1%,"225,650",-71.0%,-20.1%,"4,793,223",223.7%
Flexible US Dollar,Option,Currencies,Brazil,Latin America,B3,B3,"14,267",271.1%,1729.1%,"92,070",-86.8%,"31,299",-92.0%,-91.8%,"3,036,226",15.9%
Gold Spot (250g),Option,Metals,Brazil,Latin America,B3,B3,80,,-13.0%,"35,072",2257.0%,80,-98.7%,-13.0%,"58,924",2738.3%
Ibovespa Index,Option,Equity,Brazil,Latin America,B3,B3,"109,389",-11.1%,46.3%,"810,512",-27.7%,"11,899",22.0%,-32.0%,"36,641",-93.0%
IDI Index,Option,Other,Brazil,Latin America,B3,B3,"14,988,108",29.9%,466.0%,"72,332,377",93.7%,"20,586,107",41.5%,102.4%,"107,652,823",56.7%
Live Cattle ,Option,Agriculture,Brazil,Latin America,B3,B3,"27,920",-60.8%,31.6%,"289,782",155.4%,"52,287",15.9%,112.4%,"237,584",52.3%
One Day Inter-Bank Deposit,Option,Interest Rates,Brazil,Latin America,B3,B3,"329,570",-50.3%,435.9%,"6,425,845",601.1%,"2,680,979",8.6%,1227.1%,"13,930,155",194.2%
Soybean Cash Settled ,Option,Agriculture,Brazil,Latin America,B3,B3,0,-100.0%,-100.0%,34,-91.5%,34,0.0%,-24.4%,211,-94.7%
US Dollar,Option,Currencies,Brazil,Latin America,B3,B3,"794,895",31.2%,51.5%,"7,116,675",22.1%,"871,337",21.7%,-20.2%,"7,894,422",-25.2%
US Dollar Option Volatility,Option,Currencies,Brazil,Latin America,B3,B3,"1,835",,83.5%,"1,835",-93.3%,0,,,0,0.0%
All Options on Exchange Traded Funds,Option,Equity,United States,North America,Bats Exchange,BATS Exchange,"10,741,547",-31.7%,-34.1%,133203170,7.1%,,,,0,
All Options on Individual Equities,Option,Equity,United States,North America,Bats Exchange,BATS Exchange,"16,565,993",-11.6%,-23.6%,179859416,-1.7%,,,,0,
Colcap Index,Future,Equity,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,471,154.6%,201.9%,1540,361.1%,67,-22.1%,168.0%,508,551.3%
2 Year Colombian Government Bond,Future,Interest Rates,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,"2,382",-22.6%,-27.0%,36695,-16.8%,446,-64.6%,-75.8%,16052,0.5%
Mini US Dollar,Future,Currencies,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,"7,907",-13.1%,-75.0%,91519,-25.1%,622,-52.2%,-65.1%,9592,-22.8%
US Dollar,Future,Currencies,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,"22,767",-17.2%,-49.9%,215380,-43.6%,"1,975",-33.3%,-27.0%,19975,-16.8%
10 Year Colombian Government Bond,Future,Interest Rates,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,"8,854",-38.9%,38.9%,107168,91.5%,"2,277",-34.6%,-12.6%,26392,34.0%
5 Year Colombian Government Bond,Future,Interest Rates,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,"7,264",-27.5%,177.5%,49699,101.4%,"3,250",-26.9%,40.3%,22049,44.2%
OIS,Future,Interest Rates,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,757,-32.3%,-83.6%,15339,-39.5%,"13,021",-5.7%,-16.7%,153627,57.6%
All Futures on Individual Equities,Future,Equity,Colombia,Latin America,Bolsa de Valores de Colombia,Bolsa de Valores de Colombia,"43,633",7.5%,-61.2%,360975,-17.5%,"28,046",1.4%,-32.6%,345963,8.9%
RUB/TRY,Future,Currencies,Turkey,Other,Borsa Istanbul,Borsa Istanbul,8,-55.6%,,26,,0,,,0,
FBIST ETF,Future,Equity,Turkey,Other,Borsa Istanbul,Borsa Istanbul,424,-2.3%,-9.8%,3939,-5.4%,0,-100.0%,-100.0%,21,-86.3%
CNH/TRY,Future,Currencies,Turkey,Other,Borsa Istanbul,Borsa Istanbul,152,2940.0%,,157,,13,1200.0%,,14,
Base Load Electricity,Future,Energy,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"2,502",60.6%,-79.0%,26339,-86.2%,"1,170",28.3%,-75.0%,14173,-78.0%
BIST 30 Index,Option,Equity,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"10,187",-59.3%,-50.4%,177414,-18.4%,"14,571",33.3%,-16.3%,151141,-31.9%
USD/oz Gold,Future,Metals,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"180,924",-5.2%,148.8%,1372174,66.5%,"21,817",54.8%,40.5%,148468,53.7%
TRY/EUR,Future,Currencies,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"172,424",-7.6%,107.3%,1320528,-34.8%,"27,769",27.0%,6.0%,218976,-44.8%
Euro/US Dollar Cross Currency,Future,Currencies,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"192,451",-15.7%,69.4%,1308280,14.6%,"29,719",137.6%,88.5%,205047,117.3%
Gold,Future,Metals,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"277,423",-7.6%,227.4%,3562241,28.7%,"68,000",187.0%,294.0%,472594,21.5%
BIST 30 Index,Future,Equity,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"3,046,732",-24.3%,28.5%,31016166,-10.1%,"354,483",0.1%,28.7%,3606310,25.1%
TRY/USD,Future,Currencies,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"4,473,101",46.4%,189.1%,44184867,97.0%,"427,816",-17.0%,49.2%,4501387,50.0%
TRY/USD,Option,Currencies,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"613,269",-19.7%,38.1%,6241244,111.2%,"504,370",95.1%,61.9%,3823376,73.4%
All Options on Individual Equities,Option,Equity,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"285,353",31.9%,39.5%,1951202,-2.1%,"704,808",51.3%,87.0%,3980948,30.0%
All Futures on Individual Equities,Future,Equity,Turkey,Other,Borsa Istanbul,Borsa Istanbul,"1,523,088",-9.0%,217.7%,8732905,57.0%,"725,181",7.1%,47.8%,3931348,6.3%
Wheat,Future,Agriculture,Italy,Europe,Borsa Italiana (IDEM),London Stock Exchange Group,22,-33.3%,-86.5%,171,-71.4%,3,-88.0%,-97.7%,499,-70.2%
Electricity,Future,Energy,Italy,Europe,Borsa Italiana (IDEM),London Stock Exchange Group,85,70.0%,-77.9%,797,-65.6%,797,50.1%,-8.2%,8242,39.5%
Mini S&P/MIB Index,Future,Equity,Italy,Europe,Borsa Italiana (IDEM),London Stock Exchange Group,"188,382",-18.5%,-42.0%,2324686,-37.9%,"4,417",-4.7%,-29.3%,47996,-23.7%
S&P/MIB Index,Future,Equity,Italy,Europe,Borsa Italiana (IDEM),London Stock Exchange Group,"636,140",40.1%,-35.4%,5545917,-31.4%,"32,130",-12.6%,-37.0%,373490,-30.6%
Single Stock Dividend,Future,Equity,Italy,Europe,Borsa Italiana (IDEM),London Stock Exchange Group,1,-96.7%,-99.9%,73040,109.8%,"59,874",0.0%,-13.0%,528105,-3.1%
All Futures on Individual Equities,Future,Equity,Italy,Europe,Borsa Italiana (IDEM),London Stock Exchange Group,"261,335",546.0%,-47.0%,2110902,-33.3%,"200,254",-25.6%,-36.5%,2754750,-9.2%
S&P/MIB Index,Option,Equity,Italy,Europe,Borsa Italiana (IDEM),London Stock Exchange Group,"168,441",2.6%,-55.8%,2024850,-49.5%,"361,706",-4.8%,-25.4%,3642715,-17.7%
All Options on Individual Equities,Option,Equity,Italy,Europe,Borsa Italiana (IDEM),London Stock Exchange Group,"1,284,130",23.4%,-25.7%,14983064,-8.3%,"4,267,909",-5.7%,-24.0%,42281870,-7.3%
All Options on Exchange Traded Funds,Option,Equity,United States,North America,Boston Options Exchange,TMX Group,"1,874,028",-28.1%,-37.4%,20361648,-37.3%,,,,0,
